cell_id,Geokichla sibirica,Geokichla sibirica sibirica,Geokichla sibirica davisoni
8409a09ffffffff,1.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
8419729ffffffff,2.0,0.0,0.0
842451dffffffff,5.0,0.0,0.0
842e293ffffffff,1.0,0.0,0.0
842e29bffffffff,1.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0
84318d1ffffffff,2.0,0.0,0.0
843cf27ffffffff,1.0,0.0,0.0
8441037ffffffff,7.0,0.0,0.0
84411cbffffffff,1.0,0.0,0.0
8441b43ffffffff,2.0,0.0,0.0
8442c2dffffffff,2.0,0.0,0.0
844b26dffffffff,2.0,0.0,0.0
844ba21ffffffff,1.0,0.0,0.0
844ba57ffffffff,1.0,0.0,0.0
844bb19ffffffff,1.0,0.0,0.0
84640b9ffffffff,2.0,0.0,0.0
846416dffffffff,5.0,0.0,0.0
846431dffffffff,1.0,0.0,0.0
8464359ffffffff,2.0,0.0,0.0
8464843ffffffff,2.0,0.0,0.0
8464e49ffffffff,9.0,0.0,0.0
846500bffffffff,23.0,0.0,0.0
8465033ffffffff,7.0,0.0,0.0
8465039ffffffff,5.0,0.0,0.0
8465055ffffffff,11.0,0.0,0.0
8465189ffffffff,1.0,0.0,0.0
8465191ffffffff,1.0,0.0,0.0
84651dbffffffff,9.0,0.0,0.0
846520dffffffff,41.0,0.0,0.0
846580dffffffff,2.0,0.0,0.0
84658e3ffffffff,1.0,0.0,0.0
8465b51ffffffff,1.0,0.0,0.0
