cell_id,Lanius schach,Lanius schach erythronotus/caniceps,Lanius schach schach,Lanius schach tricolor/longicaudatus,Lanius schach bentet,Lanius schach [nasutus Group],Lanius schach schach x tricolor
832010fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
832012fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832013fffffffff,8.0,5.0,0.0,0.0,0.0,0.0,0.0
832014fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
832018fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832019fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83201afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83201bfffffffff,11.0,3.0,0.0,0.0,0.0,0.0,0.0
832080fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832082fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832083fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832084fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832085fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832086fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83208afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83208efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832098fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
832099fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83209afffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0
83209bfffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
83209efffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8320a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8320a2fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8320a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8320a8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8320a9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8320aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8320b1fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8320e0fffffffff,23.0,3.0,0.0,0.0,0.0,0.0,0.0
8320e3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8320e6fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83214afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
