cell_id,Larus canus,Larus canus canus,Larus canus heinei,Larus canus kamtschatschensis
820137fffffffff,4.0,0.0,0.0,0.0
82015ffffffffff,2.0,0.0,0.0,0.0
820747fffffffff,4.0,2.0,0.0,0.0
82075ffffffffff,4.0,2.0,0.0,0.0
820c5ffffffffff,2.0,0.0,0.0,2.0
820ca7fffffffff,16.0,0.0,0.0,16.0
821187fffffffff,9.0,0.0,9.0,0.0
82118ffffffffff,21.0,0.0,19.0,0.0
8211affffffffff,91.0,0.0,89.0,0.0
821597fffffffff,1.0,0.0,0.0,0.0
821657fffffffff,4.0,0.0,0.0,4.0
821827fffffffff,1.0,0.0,0.0,0.0
82182ffffffffff,3.0,0.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0,0.0
82184ffffffffff,66.0,0.0,0.0,0.0
82185ffffffffff,126.0,0.0,0.0,0.0
821867fffffffff,5.0,4.0,0.0,0.0
821877fffffffff,7.0,2.0,0.0,0.0
82190ffffffffff,4.0,0.0,0.0,0.0
821947fffffffff,26.0,10.0,0.0,0.0
82194ffffffffff,13.0,2.0,0.0,0.0
821957fffffffff,1.0,0.0,0.0,0.0
82195ffffffffff,3.0,2.0,0.0,0.0
82196ffffffffff,6.0,0.0,0.0,0.0
821977fffffffff,4.0,2.0,0.0,0.0
821aa7fffffffff,143.0,64.0,0.0,3.0
821ab7fffffffff,1.0,0.0,0.0,0.0
821b9ffffffffff,5.0,2.0,0.0,0.0
821e07fffffffff,84.0,5.0,0.0,0.0
821e0ffffffffff,19.0,0.0,0.0,0.0
821e17fffffffff,10.0,0.0,3.0,0.0
821e1ffffffffff,1.0,0.0,0.0,0.0
821e27fffffffff,2.0,0.0,0.0,0.0
821e37fffffffff,91.0,2.0,0.0,0.0
821e5ffffffffff,9.0,0.0,0.0,0.0
821e67fffffffff,2.0,0.0,0.0,0.0
821e6ffffffffff,10.0,0.0,0.0,0.0
821e77fffffffff,8.0,0.0,0.0,0.0
821ea7fffffffff,4.0,2.0,0.0,0.0
821eb7fffffffff,1.0,1.0,0.0,0.0
821ec7fffffffff,1.0,0.0,0.0,0.0
821ee7fffffffff,5.0,0.0,0.0,0.0
821eeffffffffff,4.0,0.0,0.0,0.0
821f0ffffffffff,4.0,0.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0,0.0
821f87fffffffff,20.0,0.0,0.0,0.0
821f8ffffffffff,14.0,6.0,0.0,0.0
821f9ffffffffff,13.0,0.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0,0.0
821faffffffffff,8.0,0.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0,0.0
82201ffffffffff,8.0,0.0,0.0,0.0
822157fffffffff,2.0,0.0,1.0,0.0
8222dffffffffff,45.0,0.0,0.0,45.0
822477fffffffff,3.0,0.0,3.0,0.0
8225b7fffffffff,3.0,0.0,0.0,0.0
822a07fffffffff,12.0,0.0,0.0,7.0
822a17fffffffff,161.0,48.0,0.0,112.0
822a37fffffffff,137.0,61.0,0.0,26.0
822aaffffffffff,4.0,0.0,0.0,2.0
822ab7fffffffff,48.0,2.0,0.0,0.0
822b07fffffffff,117.0,33.0,0.0,0.0
822b0ffffffffff,103.0,54.0,0.0,0.0
822b17fffffffff,46.0,18.0,0.0,3.0
822b1ffffffffff,38.0,0.0,0.0,29.0
822b2ffffffffff,1.0,0.0,0.0,0.0
822b37fffffffff,3.0,0.0,0.0,0.0
822b8ffffffffff,19.0,15.0,0.0,0.0
