cell_id,Cyanopica cyanus,Cyanopica cyanus [cyanus Group],Cyanopica cyanus japonica
8414813ffffffff,2.0,0.0,0.0
841496bffffffff,2.0,0.0,0.0
8414a8dffffffff,1.0,0.0,0.0
8414ae5ffffffff,138.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0
8414b63ffffffff,1.0,0.0,0.0
8414d61ffffffff,1.0,0.0,0.0
8414d65ffffffff,1.0,0.0,0.0
8415885ffffffff,2.0,0.0,0.0
8415889ffffffff,2.0,0.0,0.0
84158e5ffffffff,2.0,0.0,0.0
8415913ffffffff,3.0,0.0,0.0
8415923ffffffff,3.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
841592bffffffff,1.0,0.0,0.0
8415983ffffffff,5.0,0.0,0.0
841598bffffffff,23.0,2.0,0.0
841598dffffffff,3.0,0.0,0.0
84159c5ffffffff,4.0,0.0,0.0
8424567ffffffff,7.0,0.0,0.0
8424609ffffffff,2.0,0.0,0.0
8424829ffffffff,2.0,2.0,0.0
8424837ffffffff,1.0,0.0,0.0
8424883ffffffff,8.0,3.0,0.0
8424885ffffffff,2.0,2.0,0.0
8424895ffffffff,1.0,0.0,0.0
8424897ffffffff,4.0,4.0,0.0
84248a3ffffffff,15.0,2.0,0.0
84248a5ffffffff,5.0,0.0,0.0
84248a7ffffffff,9.0,3.0,0.0
84248a9ffffffff,2.0,0.0,0.0
84248b1ffffffff,10.0,2.0,0.0
84248b3ffffffff,1.0,0.0,0.0
84248b5ffffffff,1.0,0.0,0.0
84248b7ffffffff,1.0,1.0,0.0
84248b9ffffffff,59.0,9.0,0.0
84248bbffffffff,5.0,0.0,0.0
84248c1ffffffff,7.0,0.0,0.0
8424c05ffffffff,14.0,3.0,0.0
8424c63ffffffff,16.0,0.0,0.0
8424d05ffffffff,10.0,4.0,0.0
8424d19ffffffff,5.0,5.0,0.0
8424d23ffffffff,5.0,1.0,0.0
8424d2bffffffff,1.0,1.0,0.0
8424d6dffffffff,5.0,0.0,0.0
8424de3ffffffff,2.0,0.0,0.0
8424de7ffffffff,4.0,0.0,0.0
8424e95ffffffff,5.0,0.0,0.0
8425409ffffffff,2.0,0.0,0.0
842541dffffffff,5.0,0.0,0.0
8425465ffffffff,3.0,0.0,0.0
842546dffffffff,2.0,0.0,0.0
842552bffffffff,1.0,0.0,0.0
84255a3ffffffff,20.0,0.0,0.0
84255a7ffffffff,115.0,0.0,0.0
84255b5ffffffff,1.0,0.0,0.0
8425717ffffffff,34.0,0.0,0.0
8425b03ffffffff,5.0,0.0,0.0
842e29bffffffff,1.0,0.0,0.0
842e2b7ffffffff,1.0,0.0,1.0
842e449ffffffff,4.0,0.0,3.0
842e44dffffffff,10.0,0.0,3.0
842e729ffffffff,5.0,0.0,0.0
842e745ffffffff,2.0,0.0,2.0
842e749ffffffff,17.0,0.0,9.0
842e751ffffffff,2.0,0.0,0.0
842e755ffffffff,13.0,0.0,9.0
842e75bffffffff,1.0,0.0,0.0
842e75dffffffff,13.0,0.0,9.0
842e767ffffffff,1.0,0.0,0.0
842ec03ffffffff,1.0,0.0,0.0
842ec3dffffffff,3.0,0.0,0.0
842ec91ffffffff,7.0,0.0,0.0
842ec99ffffffff,1.0,0.0,0.0
842ecb9ffffffff,20.0,0.0,0.0
842ecdbffffffff,9.0,0.0,0.0
842ed95ffffffff,2.0,0.0,0.0
842f585ffffffff,1.0,0.0,0.0
842f5a1ffffffff,15.0,0.0,5.0
842f5a3ffffffff,174.0,0.0,18.0
842f5a5ffffffff,2.0,0.0,0.0
842f5a7ffffffff,4.0,0.0,2.0
842f5a9ffffffff,2.0,0.0,0.0
842f5abffffffff,186.0,0.0,42.0
842f5b1ffffffff,2.0,0.0,0.0
842f5b5ffffffff,3.0,0.0,0.0
842f5b9ffffffff,3.0,0.0,0.0
842f5bbffffffff,6.0,0.0,0.0
842f5bdffffffff,76.0,0.0,46.0
8430103ffffffff,2.0,0.0,0.0
8430111ffffffff,2.0,0.0,0.0
8430115ffffffff,19.0,0.0,0.0
843012dffffffff,2.0,0.0,0.0
843015bffffffff,2.0,0.0,0.0
84301ebffffffff,2.0,0.0,0.0
8430229ffffffff,2.0,0.0,0.0
843022bffffffff,1.0,0.0,0.0
8430253ffffffff,1.0,0.0,0.0
8430257ffffffff,2.0,0.0,0.0
8430259ffffffff,11.0,0.0,0.0
843025dffffffff,88.0,0.0,0.0
84302b7ffffffff,28.0,0.0,0.0
8430305ffffffff,3.0,0.0,0.0
843032dffffffff,1.0,0.0,0.0
8430815ffffffff,56.0,0.0,0.0
8430827ffffffff,3.0,0.0,0.0
8430833ffffffff,29.0,3.0,0.0
843083bffffffff,4.0,0.0,0.0
843084bffffffff,23.0,0.0,0.0
8430905ffffffff,1.0,0.0,0.0
8430911ffffffff,88.0,18.0,0.0
8430913ffffffff,1.0,0.0,0.0
8430915ffffffff,14.0,0.0,0.0
8430919ffffffff,6.0,0.0,0.0
843091bffffffff,4.0,0.0,0.0
843091dffffffff,34.0,0.0,0.0
8430921ffffffff,4.0,2.0,0.0
8430929ffffffff,17.0,6.0,0.0
8430945ffffffff,1.0,0.0,0.0
8430963ffffffff,18.0,2.0,0.0
8430981ffffffff,28.0,0.0,0.0
8430983ffffffff,3.0,0.0,0.0
843098bffffffff,1.0,0.0,0.0
843098dffffffff,42.0,2.0,0.0
8430991ffffffff,2.0,0.0,0.0
8430995ffffffff,217.0,45.0,0.0
8430997ffffffff,2.0,0.0,0.0
843099dffffffff,2.0,0.0,0.0
84309a5ffffffff,5.0,1.0,0.0
84309a7ffffffff,2.0,2.0,0.0
84309b1ffffffff,5.0,3.0,0.0
84309b3ffffffff,2.0,0.0,0.0
84309b5ffffffff,2.0,0.0,0.0
84309b9ffffffff,237.0,109.0,0.0
84309d1ffffffff,2.0,0.0,0.0
84309d3ffffffff,21.0,7.0,0.0
84309d5ffffffff,5.0,0.0,0.0
84309d9ffffffff,100.0,26.0,0.0
84309e5ffffffff,2.0,2.0,0.0
84309ebffffffff,2.0,0.0,0.0
8430a13ffffffff,12.0,0.0,0.0
8430a27ffffffff,4.0,0.0,0.0
8430a31ffffffff,3.0,1.0,0.0
8430a3bffffffff,2.0,0.0,0.0
8430a6dffffffff,1.0,0.0,0.0
8430ac5ffffffff,2.0,0.0,0.0
8430acdffffffff,17.0,0.0,0.0
8430b03ffffffff,3.0,0.0,0.0
8430b5dffffffff,2.0,0.0,0.0
8430c01ffffffff,6.0,0.0,0.0
8430c05ffffffff,14.0,0.0,0.0
8430c0bffffffff,3.0,0.0,0.0
8430c0dffffffff,5.0,0.0,0.0
8430c15ffffffff,4.0,0.0,0.0
8430c17ffffffff,1.0,0.0,0.0
8430c1dffffffff,21.0,0.0,0.0
8430c29ffffffff,81.0,0.0,0.0
8430c2bffffffff,3.0,0.0,0.0
8430c2dffffffff,4.0,0.0,0.0
8430c41ffffffff,16.0,0.0,0.0
8430c43ffffffff,2.0,0.0,0.0
8430c45ffffffff,5.0,0.0,0.0
8430c49ffffffff,23.0,0.0,0.0
8430c4bffffffff,1.0,0.0,0.0
8430c4dffffffff,41.0,0.0,0.0
8430c5dffffffff,4.0,0.0,0.0
8430c61ffffffff,10.0,0.0,0.0
8430c63ffffffff,53.0,0.0,0.0
8430c65ffffffff,8.0,0.0,0.0
8430c67ffffffff,154.0,0.0,0.0
8430c69ffffffff,1.0,0.0,0.0
8430c6dffffffff,2.0,0.0,0.0
8430d5bffffffff,4.0,0.0,0.0
8430e01ffffffff,18.0,0.0,0.0
8430e03ffffffff,46.0,0.0,0.0
8430e05ffffffff,2.0,0.0,0.0
8430e07ffffffff,31.0,0.0,0.0
8430e09ffffffff,57.0,0.0,0.0
8430e0bffffffff,133.0,0.0,0.0
8430e11ffffffff,12.0,0.0,0.0
8430e13ffffffff,2.0,0.0,0.0
8430e15ffffffff,13.0,0.0,0.0
8430e17ffffffff,7.0,0.0,0.0
8430e19ffffffff,12.0,0.0,0.0
8430e1dffffffff,164.0,0.0,0.0
