cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
834830fffffffff,10.0,0.0,0.0
834834fffffffff,16.0,0.0,0.0
834836fffffffff,20.0,0.0,0.0
8349a3fffffffff,1.0,0.0,0.0
8349a9fffffffff,9.0,0.0,0.0
8349adfffffffff,2.0,0.0,0.0
8349b4fffffffff,3.0,0.0,0.0
836612fffffffff,6.0,0.0,0.0
836613fffffffff,13.0,0.0,13.0
836684fffffffff,20.0,0.0,2.0
836685fffffffff,1.0,0.0,0.0
83669dfffffffff,1.0,0.0,0.0
8366a1fffffffff,12.0,0.0,0.0
8366a2fffffffff,15.0,0.0,0.0
8366a3fffffffff,12.0,0.0,0.0
8366a5fffffffff,5.0,0.0,2.0
8366acfffffffff,4.0,0.0,4.0
8366aefffffffff,32.0,0.0,8.0
8366b0fffffffff,77.0,0.0,0.0
8366b1fffffffff,13.0,0.0,3.0
8366b2fffffffff,2.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0
8366b6fffffffff,183.0,0.0,0.0
836c53fffffffff,6.0,0.0,0.0
836c58fffffffff,112.0,0.0,18.0
836c59fffffffff,1801.0,37.0,250.0
836c5afffffffff,753.0,117.0,126.0
836c5bfffffffff,1171.0,84.0,104.0
836c5dfffffffff,424.0,3.0,114.0
836c5efffffffff,9.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0
836d11fffffffff,1.0,0.0,0.0
836d14fffffffff,6.0,0.0,0.0
836d15fffffffff,291.0,0.0,0.0
836d16fffffffff,3.0,0.0,0.0
836d41fffffffff,1.0,0.0,0.0
836d42fffffffff,2.0,0.0,0.0
836d49fffffffff,19.0,0.0,0.0
836d4dfffffffff,2.0,0.0,0.0
836d54fffffffff,2.0,0.0,0.0
836d68fffffffff,11.0,0.0,0.0
836d69fffffffff,77.0,0.0,0.0
836d6afffffffff,11.0,0.0,0.0
836d6bfffffffff,255.0,0.0,0.0
836d6efffffffff,3.0,0.0,0.0
836d70fffffffff,55.0,0.0,0.0
836d74fffffffff,61.0,0.0,0.0
836d76fffffffff,4.0,0.0,0.0
838fa4fffffffff,131.0,0.0,5.0
838fa6fffffffff,1101.0,14.0,261.0
838fb2fffffffff,1.0,0.0,0.0
838fb4fffffffff,9.0,0.0,0.0
