cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
8444249ffffffff,28.0,0.0,0.0
8445019ffffffff,123.0,0.0,0.0
844501bffffffff,16.0,2.0,0.0
8445053ffffffff,28.0,8.0,0.0
8445059ffffffff,1.0,0.0,0.0
844505bffffffff,98.0,2.0,0.0
8445081ffffffff,12.0,0.0,0.0
8445083ffffffff,121.0,27.0,0.0
8445085ffffffff,273.0,16.0,0.0
8445087ffffffff,673.0,74.0,0.0
8445089ffffffff,8.0,0.0,0.0
844508bffffffff,8.0,0.0,0.0
844508dffffffff,141.0,3.0,0.0
8445095ffffffff,7.0,5.0,0.0
8445099ffffffff,2.0,0.0,0.0
844509bffffffff,1.0,0.0,0.0
844509dffffffff,5.0,0.0,0.0
84450a1ffffffff,721.0,7.0,0.0
84450a3ffffffff,239.0,44.0,0.0
84450a5ffffffff,80.0,3.0,0.0
84450a7ffffffff,28.0,0.0,0.0
84450a9ffffffff,54.0,4.0,0.0
84450abffffffff,126.0,8.0,0.0
84450adffffffff,6.0,0.0,0.0
84450b1ffffffff,17.0,2.0,0.0
84450b5ffffffff,137.0,0.0,0.0
84450b9ffffffff,8.0,0.0,0.0
84450bdffffffff,93.0,9.0,0.0
84450c1ffffffff,61.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,173.0,12.0,0.0
84450c7ffffffff,22.0,0.0,0.0
84450c9ffffffff,6.0,0.0,0.0
84450cdffffffff,81.0,14.0,0.0
84450d1ffffffff,21.0,16.0,0.0
84450d3ffffffff,154.0,74.0,0.0
84450d5ffffffff,68.0,40.0,0.0
84450d9ffffffff,2.0,0.0,0.0
84450ddffffffff,17.0,9.0,0.0
84450e1ffffffff,18.0,0.0,0.0
84450e3ffffffff,753.0,20.0,0.0
84450e7ffffffff,2.0,0.0,0.0
84450ebffffffff,357.0,53.0,0.0
84450edffffffff,1.0,0.0,0.0
844519bffffffff,2.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,38.0,0.0,0.0
8445205ffffffff,81.0,0.0,0.0
8445207ffffffff,93.0,0.0,0.0
8445209ffffffff,32.0,0.0,0.0
844520bffffffff,81.0,0.0,0.0
844520dffffffff,224.0,0.0,0.0
8445211ffffffff,13.0,0.0,0.0
8445213ffffffff,27.0,0.0,0.0
8445215ffffffff,432.0,12.0,0.0
8445217ffffffff,367.0,12.0,0.0
8445219ffffffff,3.0,0.0,0.0
844521bffffffff,4.0,0.0,0.0
844521dffffffff,56.0,0.0,0.0
8445221ffffffff,288.0,0.0,0.0
8445225ffffffff,800.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0
844522bffffffff,28.0,0.0,0.0
844522dffffffff,9.0,0.0,0.0
8445233ffffffff,1515.0,63.0,0.0
844523bffffffff,143.0,0.0,0.0
8445241ffffffff,1.0,0.0,0.0
8445243ffffffff,2.0,0.0,0.0
8445249ffffffff,37.0,0.0,0.0
8445253ffffffff,8.0,0.0,0.0
8445255ffffffff,156.0,3.0,0.0
