cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
832600fffffffff,79.0,0.0,0.0
832601fffffffff,319.0,63.0,0.0
832602fffffffff,66.0,0.0,0.0
832603fffffffff,229.0,47.0,0.0
832604fffffffff,69.0,0.0,0.0
832605fffffffff,271.0,0.0,0.0
832606fffffffff,37.0,0.0,0.0
832608fffffffff,308.0,9.0,0.0
832609fffffffff,135.0,0.0,0.0
83260afffffffff,647.0,2.0,0.0
83260bfffffffff,738.0,12.0,0.0
83260cfffffffff,20.0,0.0,0.0
83260dfffffffff,215.0,2.0,0.0
83260efffffffff,387.0,19.0,0.0
832610fffffffff,237.0,0.0,0.0
832611fffffffff,238.0,13.0,0.0
832612fffffffff,152.0,5.0,0.0
832613fffffffff,29.0,0.0,0.0
832614fffffffff,24.0,0.0,0.0
832615fffffffff,99.0,0.0,0.0
832616fffffffff,178.0,0.0,0.0
832618fffffffff,412.0,7.0,0.0
832619fffffffff,77.0,1.0,0.0
83261afffffffff,93.0,4.0,0.0
83261bfffffffff,80.0,0.0,0.0
83261cfffffffff,72.0,0.0,0.0
83261dfffffffff,67.0,3.0,0.0
83261efffffffff,59.0,0.0,0.0
832620fffffffff,150.0,0.0,0.0
832621fffffffff,339.0,0.0,0.0
832622fffffffff,169.0,0.0,0.0
832623fffffffff,157.0,0.0,0.0
832624fffffffff,28.0,0.0,0.0
832625fffffffff,36.0,0.0,0.0
832626fffffffff,444.0,0.0,0.0
832628fffffffff,46.0,0.0,0.0
832629fffffffff,55.0,0.0,0.0
83262afffffffff,56.0,0.0,0.0
83262bfffffffff,62.0,0.0,0.0
83262cfffffffff,678.0,0.0,0.0
83262dfffffffff,193.0,0.0,0.0
83262efffffffff,107.0,0.0,0.0
832630fffffffff,37.0,0.0,0.0
832631fffffffff,35.0,0.0,0.0
832632fffffffff,18.0,0.0,0.0
832633fffffffff,85.0,0.0,0.0
832634fffffffff,970.0,0.0,0.0
832635fffffffff,133.0,0.0,0.0
832636fffffffff,346.0,0.0,0.0
832640fffffffff,456.0,0.0,0.0
832641fffffffff,506.0,0.0,0.0
832642fffffffff,466.0,0.0,0.0
832643fffffffff,644.0,0.0,0.0
832644fffffffff,31.0,0.0,0.0
832645fffffffff,53.0,0.0,0.0
832646fffffffff,2138.0,0.0,0.0
832648fffffffff,905.0,0.0,0.0
832649fffffffff,401.0,0.0,0.0
83264afffffffff,339.0,0.0,0.0
83264bfffffffff,314.0,0.0,0.0
83264cfffffffff,815.0,0.0,0.0
83264dfffffffff,1091.0,0.0,0.0
83264efffffffff,426.0,0.0,0.0
832650fffffffff,307.0,0.0,0.0
