cell_id,Leiothlypis ruficapilla,Leiothlypis ruficapilla ruficapilla,Leiothlypis ruficapilla ridgwayi
830e48fffffffff,40.0,0.0,0.0
830e49fffffffff,274.0,0.0,0.0
830e4afffffffff,49.0,0.0,0.0
830e4bfffffffff,51.0,0.0,0.0
830e4cfffffffff,7.0,0.0,0.0
830e4dfffffffff,174.0,0.0,0.0
830e59fffffffff,12.0,0.0,0.0
830e5bfffffffff,33.0,0.0,0.0
830e6afffffffff,2.0,0.0,0.0
830e89fffffffff,3.0,0.0,0.0
830e91fffffffff,2.0,0.0,0.0
830e9afffffffff,6.0,0.0,0.0
830ec1fffffffff,1.0,0.0,0.0
830ec2fffffffff,4.0,0.0,0.0
830ec3fffffffff,1.0,0.0,0.0
830ec8fffffffff,102.0,0.0,0.0
830ec9fffffffff,161.0,0.0,0.0
830ecafffffffff,32.0,0.0,0.0
830ecbfffffffff,49.0,0.0,0.0
830eccfffffffff,129.0,0.0,0.0
830ecdfffffffff,73.0,0.0,0.0
830ed1fffffffff,3.0,0.0,0.0
830ed4fffffffff,2.0,0.0,0.0
830ed5fffffffff,5.0,0.0,0.0
830ed8fffffffff,9.0,0.0,0.0
830ed9fffffffff,38.0,0.0,0.0
830edafffffffff,4.0,0.0,0.0
830edbfffffffff,19.0,0.0,0.0
830edefffffffff,2.0,0.0,0.0
830ee8fffffffff,11.0,0.0,0.0
830ee9fffffffff,4.0,0.0,0.0
830eeafffffffff,300.0,0.0,0.0
830eebfffffffff,27.0,0.0,0.0
830eecfffffffff,4.0,0.0,0.0
830eedfffffffff,9.0,0.0,0.0
830ef0fffffffff,2.0,0.0,0.0
830ef3fffffffff,3.0,0.0,0.0
831241fffffffff,2.0,0.0,0.0
831243fffffffff,12.0,0.0,0.0
83124afffffffff,4.0,0.0,0.0
83124dfffffffff,3.0,0.0,0.0
83124efffffffff,1.0,0.0,0.0
831250fffffffff,9.0,0.0,0.0
831251fffffffff,204.0,0.0,0.0
831252fffffffff,3.0,0.0,0.0
831253fffffffff,10.0,0.0,0.0
831254fffffffff,10.0,0.0,0.0
831255fffffffff,5.0,0.0,0.0
831258fffffffff,8.0,0.0,0.0
831259fffffffff,21.0,0.0,0.0
83125cfffffffff,5.0,0.0,0.0
83125dfffffffff,34.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0
83126bfffffffff,5.0,0.0,0.0
831272fffffffff,4.0,0.0,0.0
831289fffffffff,16.0,0.0,0.0
83128bfffffffff,43.0,0.0,0.0
83128dfffffffff,2.0,0.0,0.0
8312c0fffffffff,14.0,0.0,0.0
8312c1fffffffff,8.0,0.0,0.0
8312c2fffffffff,60.0,0.0,0.0
8312c3fffffffff,41.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0
8312cafffffffff,41.0,0.0,0.0
8312cbfffffffff,44.0,0.0,0.0
8312cefffffffff,8.0,0.0,0.0
8312d0fffffffff,35.0,0.0,0.0
8312d1fffffffff,986.0,0.0,0.0
8312d2fffffffff,43.0,0.0,0.0
8312d3fffffffff,492.0,0.0,0.0
8312d4fffffffff,5.0,0.0,0.0
8312d5fffffffff,61.0,0.0,0.0
8312d6fffffffff,265.0,0.0,0.0
8312d8fffffffff,681.0,0.0,4.0
8312d9fffffffff,314.0,0.0,0.0
8312dafffffffff,373.0,0.0,46.0
8312dbfffffffff,400.0,0.0,6.0
8312dcfffffffff,446.0,0.0,0.0
8312ddfffffffff,469.0,0.0,0.0
8312defffffffff,853.0,0.0,5.0
8312e1fffffffff,16.0,0.0,0.0
8312ecfffffffff,19.0,0.0,0.0
8312f3fffffffff,1.0,0.0,0.0
831b92fffffffff,2.0,0.0,0.0
832600fffffffff,26.0,0.0,0.0
832601fffffffff,133.0,0.0,0.0
832602fffffffff,3.0,0.0,0.0
832603fffffffff,57.0,0.0,0.0
832604fffffffff,34.0,0.0,0.0
832605fffffffff,141.0,0.0,0.0
832608fffffffff,230.0,3.0,0.0
832609fffffffff,19.0,0.0,0.0
83260afffffffff,365.0,0.0,0.0
83260bfffffffff,251.0,0.0,0.0
83260cfffffffff,18.0,0.0,0.0
83260dfffffffff,262.0,0.0,0.0
83260efffffffff,258.0,13.0,0.0
832610fffffffff,2.0,0.0,0.0
832615fffffffff,2.0,0.0,0.0
832618fffffffff,14.0,0.0,0.0
832619fffffffff,12.0,0.0,0.0
83261afffffffff,1.0,0.0,0.0
83261bfffffffff,12.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0
83261dfffffffff,8.0,0.0,0.0
832620fffffffff,189.0,0.0,0.0
832621fffffffff,675.0,0.0,0.0
832622fffffffff,53.0,0.0,0.0
832623fffffffff,119.0,0.0,0.0
832624fffffffff,776.0,0.0,0.0
832625fffffffff,333.0,0.0,0.0
832626fffffffff,386.0,0.0,0.0
832628fffffffff,197.0,0.0,0.0
832629fffffffff,204.0,0.0,0.0
83262afffffffff,23.0,0.0,0.0
83262bfffffffff,326.0,0.0,0.0
83262cfffffffff,3089.0,0.0,0.0
83262dfffffffff,365.0,0.0,0.0
83262efffffffff,157.0,0.0,0.0
832630fffffffff,10.0,0.0,0.0
832631fffffffff,2.0,0.0,0.0
832633fffffffff,4.0,0.0,0.0
832634fffffffff,37.0,0.0,0.0
832635fffffffff,23.0,0.0,0.0
832636fffffffff,6.0,0.0,0.0
832640fffffffff,1075.0,15.0,0.0
832641fffffffff,303.0,23.0,0.0
832642fffffffff,176.0,0.0,0.0
832643fffffffff,271.0,1.0,0.0
832644fffffffff,59.0,0.0,0.0
832645fffffffff,23.0,2.0,0.0
832646fffffffff,1210.0,23.0,0.0
832648fffffffff,96.0,0.0,0.0
832649fffffffff,55.0,0.0,0.0
83264afffffffff,76.0,0.0,0.0
83264bfffffffff,12.0,0.0,0.0
83264cfffffffff,183.0,0.0,0.0
83264dfffffffff,475.0,0.0,0.0
83264efffffffff,109.0,0.0,0.0
832650fffffffff,161.0,0.0,0.0
832651fffffffff,181.0,0.0,0.0
832652fffffffff,463.0,0.0,0.0
832653fffffffff,969.0,0.0,0.0
832654fffffffff,266.0,0.0,0.0
832655fffffffff,1394.0,0.0,0.0
832656fffffffff,1680.0,0.0,0.0
832658fffffffff,42.0,0.0,0.0
832659fffffffff,295.0,0.0,0.0
83265afffffffff,62.0,0.0,0.0
83265bfffffffff,395.0,0.0,0.0
83265cfffffffff,182.0,0.0,0.0
83265dfffffffff,196.0,0.0,0.0
83265efffffffff,184.0,0.0,0.0
832660fffffffff,187.0,8.0,0.0
832661fffffffff,1344.0,0.0,0.0
832662fffffffff,816.0,77.0,0.0
832663fffffffff,595.0,15.0,0.0
832664fffffffff,7273.0,481.0,0.0
832665fffffffff,278.0,0.0,0.0
832666fffffffff,881.0,7.0,0.0
832668fffffffff,579.0,0.0,0.0
832669fffffffff,8.0,0.0,0.0
83266afffffffff,185.0,0.0,0.0
83266bfffffffff,123.0,0.0,0.0
83266cfffffffff,491.0,0.0,0.0
83266dfffffffff,575.0,0.0,0.0
83266efffffffff,245.0,0.0,0.0
832670fffffffff,113.0,0.0,0.0
832671fffffffff,124.0,4.0,0.0
832672fffffffff,59.0,0.0,0.0
832673fffffffff,112.0,0.0,0.0
832674fffffffff,393.0,0.0,0.0
832675fffffffff,169.0,0.0,0.0
832676fffffffff,51.0,0.0,0.0
832680fffffffff,13.0,0.0,0.0
832682fffffffff,4.0,0.0,0.0
832683fffffffff,2.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0
832688fffffffff,25.0,0.0,0.0
83268cfffffffff,10.0,0.0,0.0
83268dfffffffff,56.0,0.0,0.0
832690fffffffff,54.0,0.0,0.0
832692fffffffff,10.0,0.0,0.0
832694fffffffff,3.0,0.0,0.0
832695fffffffff,2.0,0.0,0.0
832696fffffffff,589.0,0.0,0.0
832698fffffffff,48.0,0.0,0.0
832699fffffffff,49.0,0.0,0.0
83269afffffffff,10.0,0.0,0.0
83269bfffffffff,10.0,0.0,0.0
83269cfffffffff,64.0,0.0,0.0
83269dfffffffff,2.0,0.0,0.0
83269efffffffff,42.0,0.0,0.0
8326a8fffffffff,32.0,0.0,0.0
8326a9fffffffff,15.0,0.0,0.0
8326aafffffffff,29.0,0.0,0.0
8326abfffffffff,17.0,0.0,0.0
8326adfffffffff,2.0,0.0,0.0
8326c0fffffffff,2.0,0.0,0.0
8326c1fffffffff,341.0,0.0,0.0
8326c2fffffffff,4.0,0.0,0.0
8326c3fffffffff,97.0,0.0,0.0
8326c4fffffffff,32.0,0.0,0.0
8326c5fffffffff,152.0,0.0,0.0
8326c6fffffffff,2.0,0.0,0.0
8326c8fffffffff,877.0,0.0,0.0
8326c9fffffffff,130.0,0.0,0.0
8326cafffffffff,240.0,0.0,0.0
8326cbfffffffff,681.0,0.0,0.0
8326ccfffffffff,24.0,0.0,0.0
8326cdfffffffff,18.0,0.0,0.0
8326cefffffffff,8.0,0.0,0.0
8326d0fffffffff,7.0,0.0,0.0
8326d1fffffffff,39.0,0.0,0.0
8326d2fffffffff,8.0,0.0,0.0
8326d3fffffffff,16.0,0.0,0.0
8326d4fffffffff,92.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0
8326d6fffffffff,8.0,0.0,0.0
8326d8fffffffff,18.0,0.0,0.0
8326d9fffffffff,86.0,0.0,0.0
8326dafffffffff,8.0,0.0,0.0
8326dbfffffffff,67.0,0.0,0.0
8326dcfffffffff,7.0,0.0,0.0
8326ddfffffffff,32.0,0.0,0.0
8326defffffffff,187.0,0.0,0.0
8326e0fffffffff,84.0,0.0,0.0
8326e1fffffffff,90.0,0.0,0.0
8326e2fffffffff,149.0,0.0,0.0
8326e3fffffffff,153.0,0.0,0.0
8326e4fffffffff,222.0,0.0,0.0
8326e5fffffffff,974.0,0.0,0.0
8326e6fffffffff,47.0,0.0,0.0
8326e8fffffffff,61.0,0.0,0.0
8326e9fffffffff,91.0,0.0,0.0
8326eafffffffff,50.0,0.0,0.0
8326ebfffffffff,1.0,0.0,0.0
8326ecfffffffff,309.0,0.0,0.0
8326edfffffffff,531.0,0.0,0.0
8326eefffffffff,139.0,0.0,0.0
8326f0fffffffff,30.0,0.0,0.0
8326f1fffffffff,31.0,0.0,0.0
8326f2fffffffff,193.0,0.0,0.0
8326f3fffffffff,17.0,0.0,0.0
8326f4fffffffff,4.0,0.0,0.0
8326f5fffffffff,26.0,0.0,0.0
8326f6fffffffff,7.0,0.0,0.0
832700fffffffff,181.0,0.0,0.0
832701fffffffff,49.0,0.0,0.0
832702fffffffff,385.0,0.0,0.0
832703fffffffff,445.0,0.0,0.0
832705fffffffff,36.0,0.0,0.0
832706fffffffff,40.0,0.0,0.0
832708fffffffff,332.0,0.0,0.0
832709fffffffff,2375.0,0.0,0.0
83270afffffffff,281.0,0.0,0.0
83270bfffffffff,356.0,0.0,0.0
83270cfffffffff,42.0,0.0,0.0
83270dfffffffff,172.0,0.0,0.0
83270efffffffff,829.0,0.0,0.0
832710fffffffff,233.0,0.0,0.0
832711fffffffff,49.0,0.0,0.0
832712fffffffff,10.0,0.0,0.0
832713fffffffff,39.0,0.0,0.0
832714fffffffff,2.0,0.0,0.0
832715fffffffff,8.0,0.0,0.0
832716fffffffff,20.0,0.0,0.0
832718fffffffff,42.0,0.0,0.0
832719fffffffff,318.0,0.0,0.0
83271afffffffff,52.0,0.0,0.0
83271bfffffffff,31.0,0.0,0.0
83271cfffffffff,449.0,0.0,0.0
83271dfffffffff,285.0,0.0,0.0
83271efffffffff,31.0,0.0,0.0
832720fffffffff,3.0,0.0,0.0
832721fffffffff,3.0,0.0,0.0
832723fffffffff,4.0,0.0,0.0
832728fffffffff,2.0,0.0,0.0
832729fffffffff,12.0,0.0,0.0
83272afffffffff,16.0,0.0,0.0
83272bfffffffff,36.0,0.0,0.0
83272cfffffffff,2.0,0.0,0.0
832733fffffffff,1.0,0.0,0.0
832734fffffffff,3.0,0.0,0.0
832735fffffffff,2.0,0.0,0.0
832736fffffffff,2.0,0.0,0.0
832740fffffffff,1087.0,0.0,0.0
832741fffffffff,521.0,0.0,0.0
832742fffffffff,740.0,0.0,0.0
832743fffffffff,643.0,0.0,0.0
832744fffffffff,756.0,0.0,0.0
832745fffffffff,888.0,0.0,0.0
832746fffffffff,2263.0,0.0,0.0
832748fffffffff,2382.0,0.0,0.0
832749fffffffff,2232.0,0.0,0.0
83274afffffffff,251.0,0.0,0.0
83274bfffffffff,1067.0,0.0,0.0
83274cfffffffff,369.0,0.0,0.0
83274dfffffffff,1743.0,0.0,0.0
83274efffffffff,526.0,0.0,0.0
832750fffffffff,306.0,0.0,0.0
832751fffffffff,305.0,0.0,0.0
832752fffffffff,1838.0,0.0,0.0
832753fffffffff,348.0,0.0,0.0
832754fffffffff,1202.0,0.0,0.0
832755fffffffff,1391.0,0.0,0.0
832756fffffffff,2694.0,0.0,0.0
832758fffffffff,2788.0,0.0,0.0
832759fffffffff,4667.0,78.0,0.0
83275afffffffff,271.0,0.0,0.0
83275bfffffffff,435.0,2.0,0.0
83275cfffffffff,796.0,0.0,0.0
83275dfffffffff,2858.0,0.0,0.0
83275efffffffff,526.0,0.0,0.0
832760fffffffff,339.0,0.0,0.0
832761fffffffff,182.0,0.0,0.0
832762fffffffff,1.0,0.0,0.0
832763fffffffff,2114.0,0.0,0.0
832764fffffffff,61.0,0.0,0.0
832765fffffffff,403.0,0.0,0.0
832766fffffffff,90.0,0.0,0.0
832768fffffffff,223.0,0.0,0.0
832769fffffffff,529.0,0.0,0.0
83276afffffffff,2871.0,0.0,0.0
83276bfffffffff,3120.0,0.0,0.0
83276cfffffffff,134.0,0.0,0.0
83276dfffffffff,771.0,0.0,0.0
83276efffffffff,627.0,0.0,0.0
832770fffffffff,715.0,0.0,0.0
832771fffffffff,608.0,0.0,0.0
832772fffffffff,543.0,0.0,0.0
832773fffffffff,207.0,0.0,0.0
832774fffffffff,190.0,0.0,0.0
832775fffffffff,53.0,0.0,0.0
832776fffffffff,58.0,0.0,0.0
832780fffffffff,2.0,0.0,0.0
832785fffffffff,10.0,0.0,0.0
832786fffffffff,11.0,0.0,0.0
83278efffffffff,1.0,0.0,0.0
832790fffffffff,13.0,0.0,0.0
