cell_id,Asio otus,Asio otus wilsonianus/tuftsi,Asio otus otus/canariensis
830135fffffffff,2.0,0.0,0.0
830806fffffffff,1.0,0.0,0.0
830811fffffffff,2.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
830880fffffffff,2.0,0.0,0.0
830882fffffffff,2.0,0.0,0.0
830885fffffffff,7.0,0.0,0.0
830886fffffffff,8.0,0.0,0.0
830893fffffffff,3.0,0.0,0.0
830899fffffffff,6.0,0.0,0.0
83089afffffffff,4.0,0.0,0.0
83089cfffffffff,1.0,0.0,0.0
83089dfffffffff,2.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0
8308a2fffffffff,2.0,0.0,0.0
8308a3fffffffff,4.0,0.0,0.0
8308a6fffffffff,1.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0
8308b1fffffffff,5.0,0.0,0.0
8308b2fffffffff,2.0,0.0,0.0
8308b5fffffffff,2.0,0.0,0.0
8308d1fffffffff,2.0,0.0,0.0
8308f1fffffffff,2.0,0.0,0.0
830999fffffffff,8.0,0.0,0.0
83099efffffffff,1.0,0.0,0.0
8309a2fffffffff,1.0,0.0,0.0
830ab4fffffffff,2.0,0.0,0.0
830e4dfffffffff,5.0,0.0,0.0
830ec2fffffffff,9.0,0.0,0.0
830ec9fffffffff,1.0,0.0,0.0
830eccfffffffff,2.0,0.0,0.0
830ed9fffffffff,2.0,0.0,0.0
830edefffffffff,1.0,0.0,0.0
830eeafffffffff,95.0,0.0,0.0
830eebfffffffff,12.0,0.0,0.0
831016fffffffff,5.0,0.0,0.0
8310c0fffffffff,2.0,0.0,0.0
8310c2fffffffff,1.0,0.0,0.0
8310dcfffffffff,5.0,0.0,0.0
8310f2fffffffff,1.0,0.0,0.0
831105fffffffff,21.0,0.0,0.0
831106fffffffff,24.0,0.0,0.0
831126fffffffff,9.0,0.0,2.0
83112afffffffff,1.0,0.0,0.0
83112efffffffff,3.0,0.0,0.0
831135fffffffff,2.0,0.0,0.0
83118afffffffff,8.0,0.0,0.0
83118efffffffff,5.0,0.0,0.0
8311aafffffffff,63.0,0.0,0.0
8311abfffffffff,7.0,0.0,0.0
8311aefffffffff,5.0,0.0,0.0
8311b4fffffffff,1.0,0.0,0.0
83121afffffffff,2.0,0.0,0.0
831229fffffffff,2.0,0.0,0.0
831243fffffffff,2.0,0.0,0.0
83124bfffffffff,2.0,0.0,0.0
83124dfffffffff,4.0,0.0,0.0
831251fffffffff,29.0,0.0,0.0
831253fffffffff,9.0,0.0,0.0
831256fffffffff,2.0,0.0,0.0
831258fffffffff,1.0,0.0,0.0
831259fffffffff,24.0,0.0,0.0
83125dfffffffff,9.0,0.0,0.0
831289fffffffff,9.0,0.0,0.0
83128bfffffffff,2.0,0.0,0.0
83128cfffffffff,2.0,0.0,0.0
83128dfffffffff,2.0,0.0,0.0
8312c0fffffffff,4.0,0.0,0.0
8312c1fffffffff,12.0,0.0,0.0
8312c2fffffffff,4.0,0.0,0.0
8312c8fffffffff,7.0,0.0,0.0
8312c9fffffffff,4.0,0.0,0.0
8312ccfffffffff,46.0,0.0,0.0
8312cdfffffffff,2.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0
8312d0fffffffff,4.0,0.0,0.0
8312d1fffffffff,7.0,0.0,0.0
8312d3fffffffff,4.0,0.0,0.0
