cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
834424fffffffff,355.0,0.0,10.0
834501fffffffff,470.0,0.0,6.0
834505fffffffff,2173.0,0.0,0.0
834508fffffffff,945.0,0.0,28.0
834509fffffffff,4003.0,0.0,700.0
83450afffffffff,1686.0,0.0,88.0
83450bfffffffff,1764.0,0.0,89.0
83450cfffffffff,161.0,0.0,5.0
83450dfffffffff,349.0,0.0,54.0
83450efffffffff,829.0,0.0,23.0
834519fffffffff,73.0,0.0,2.0
83451dfffffffff,4.0,0.0,0.0
834520fffffffff,725.0,0.0,8.0
834521fffffffff,930.0,0.0,3.0
834522fffffffff,222.0,0.0,0.0
834523fffffffff,814.0,0.0,0.0
834524fffffffff,1593.0,0.0,0.0
834525fffffffff,846.0,0.0,125.0
834526fffffffff,1358.0,0.0,0.0
834528fffffffff,16.0,0.0,2.0
834529fffffffff,29.0,0.0,3.0
83452afffffffff,742.0,0.0,6.0
83452bfffffffff,71.0,0.0,5.0
83452efffffffff,24.0,0.0,0.0
834530fffffffff,23.0,0.0,0.0
834531fffffffff,91.0,0.0,0.0
834532fffffffff,20.0,0.0,0.0
834534fffffffff,124.0,0.0,0.0
834535fffffffff,245.0,0.0,0.0
834536fffffffff,11.0,0.0,0.0
834554fffffffff,6.0,0.0,0.0
834572fffffffff,1532.0,0.0,331.0
834574fffffffff,7.0,0.0,0.0
834576fffffffff,159.0,0.0,13.0
834802fffffffff,222.0,0.0,0.0
834806fffffffff,92.0,0.0,0.0
834815fffffffff,48.0,0.0,0.0
834830fffffffff,22.0,19.0,0.0
834832fffffffff,32.0,0.0,2.0
834833fffffffff,767.0,0.0,14.0
834834fffffffff,2.0,0.0,0.0
834836fffffffff,5343.0,0.0,82.0
834980fffffffff,2.0,0.0,0.0
834985fffffffff,1.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,182.0,0.0,0.0
8349a3fffffffff,55.0,0.0,0.0
8349a8fffffffff,1214.0,0.0,18.0
8349a9fffffffff,2491.0,0.0,111.0
8349aafffffffff,1.0,0.0,0.0
8349acfffffffff,3.0,0.0,0.0
8349adfffffffff,62.0,0.0,6.0
8349aefffffffff,19.0,0.0,2.0
8349b0fffffffff,16.0,0.0,0.0
8349b4fffffffff,7.0,0.0,0.0
8349b5fffffffff,157.0,0.0,0.0
8349b6fffffffff,15.0,0.0,0.0
8366b6fffffffff,14.0,0.0,0.0
836790fffffffff,33.0,0.0,0.0
836791fffffffff,12.0,0.0,0.0
836792fffffffff,58.0,0.0,0.0
836793fffffffff,12.0,0.0,0.0
836794fffffffff,40.0,0.0,0.0
836795fffffffff,7.0,0.0,0.0
836796fffffffff,3.0,0.0,0.0
8367b2fffffffff,18.0,0.0,0.0
836d04fffffffff,247.0,0.0,42.0
836d05fffffffff,286.0,0.0,72.0
836d06fffffffff,42.0,0.0,5.0
836d14fffffffff,105.0,0.0,9.0
836d15fffffffff,984.0,0.0,140.0
836d25fffffffff,4.0,0.0,0.0
836d28fffffffff,18.0,0.0,2.0
836d29fffffffff,492.0,0.0,36.0
836d2afffffffff,414.0,0.0,56.0
836d2bfffffffff,3372.0,0.0,146.0
836d2dfffffffff,68.0,0.0,35.0
836d31fffffffff,232.0,0.0,13.0
836d33fffffffff,382.0,0.0,36.0
836d60fffffffff,1003.0,0.0,0.0
836d61fffffffff,2329.0,0.0,0.0
836d63fffffffff,325.0,0.0,0.0
836d64fffffffff,2590.0,0.0,0.0
836d65fffffffff,668.0,0.0,0.0
836d66fffffffff,813.0,0.0,0.0
836d68fffffffff,2705.0,0.0,0.0
836d69fffffffff,5066.0,0.0,0.0
836d6afffffffff,143.0,0.0,0.0
836d6bfffffffff,1261.0,0.0,0.0
836d6cfffffffff,236.0,0.0,0.0
836d6dfffffffff,29.0,0.0,0.0
836d6efffffffff,1629.0,0.0,0.0
836d74fffffffff,2283.0,0.0,0.0
836d75fffffffff,527.0,0.0,0.0
836d76fffffffff,150.0,0.0,10.0
