cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
824527fffffffff,13.0,0.0,0.0
82452ffffffffff,15.0,13.0,0.0
82660ffffffffff,10.0,0.0,0.0
826647fffffffff,4.0,0.0,0.0
8266a7fffffffff,2.0,2.0,0.0
8266b7fffffffff,24.0,2.0,0.0
8266d7fffffffff,10.0,0.0,9.0
8266dffffffffff,10.0,1.0,9.0
8266e7fffffffff,3.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826747fffffffff,5.0,1.0,0.0
82674ffffffffff,18.0,0.0,0.0
82675ffffffffff,39.0,0.0,0.0
82679ffffffffff,7.0,0.0,0.0
826d07fffffffff,2.0,0.0,0.0
826d27fffffffff,6.0,0.0,0.0
826d2ffffffffff,29.0,0.0,0.0
826d37fffffffff,24.0,5.0,0.0
826d6ffffffffff,33.0,9.0,0.0
826d77fffffffff,4.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b6ffffffffff,3.0,3.0,0.0
828f2ffffffffff,2.0,0.0,2.0
828f4ffffffffff,17.0,0.0,0.0
828f57fffffffff,1.0,0.0,1.0
82a827fffffffff,3.0,0.0,0.0
82a837fffffffff,8.0,0.0,0.0
82a8a7fffffffff,1.0,0.0,0.0
82a90ffffffffff,2.0,0.0,0.0
82a91ffffffffff,17.0,0.0,0.0
82a947fffffffff,10.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a967fffffffff,4.0,0.0,0.0
82a977fffffffff,5.0,0.0,0.0
