cell_id,Tricholaema hirsuta,Tricholaema hirsuta hirsuta,Tricholaema hirsuta [flavipunctata Group]
8458839ffffffff,1.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0
8458b27ffffffff,2.0,0.0,0.0
8458d23ffffffff,10.0,0.0,0.0
8458d31ffffffff,2.0,0.0,0.0
8458d33ffffffff,13.0,0.0,13.0
8458d35ffffffff,1.0,0.0,1.0
8458d37ffffffff,3.0,0.0,3.0
8458da3ffffffff,1.0,0.0,0.0
8458de5ffffffff,2.0,0.0,2.0
846a9e5ffffffff,2.0,0.0,0.0
846a9e7ffffffff,14.0,0.0,0.0
846a9edffffffff,6.0,0.0,0.0
846ac03ffffffff,23.0,0.0,1.0
846ac0bffffffff,23.0,0.0,4.0
846ac0dffffffff,1.0,0.0,0.0
846ac15ffffffff,347.0,0.0,82.0
846ac1dffffffff,5.0,0.0,0.0
846ac39ffffffff,8.0,0.0,0.0
846ac3dffffffff,5.0,0.0,3.0
846ac89ffffffff,2.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0
846acc7ffffffff,37.0,0.0,2.0
846accbffffffff,2.0,0.0,0.0
846acd5ffffffff,100.0,0.0,16.0
846adc1ffffffff,157.0,0.0,23.0
846adc5ffffffff,51.0,0.0,0.0
846aea1ffffffff,40.0,0.0,0.0
846aeabffffffff,18.0,0.0,2.0
8475085ffffffff,61.0,4.0,0.0
8475087ffffffff,27.0,6.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,303.0,47.0,0.0
84750d3ffffffff,1.0,0.0,0.0
84750d9ffffffff,14.0,0.0,0.0
84750ddffffffff,11.0,0.0,0.0
8475195ffffffff,1.0,0.0,0.0
84751d7ffffffff,3.0,0.0,0.0
8475295ffffffff,120.0,10.0,0.0
84752abffffffff,55.0,1.0,0.0
84752adffffffff,4.0,0.0,0.0
84752b5ffffffff,36.0,9.0,0.0
84752b7ffffffff,1.0,0.0,0.0
84752dbffffffff,4.0,0.0,0.0
84752e9ffffffff,5.0,0.0,0.0
8475a81ffffffff,2.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475b01ffffffff,2.0,0.0,0.0
8475b07ffffffff,2.0,0.0,0.0
847a4cbffffffff,62.0,0.0,0.0
847a4ddffffffff,60.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0
8482841ffffffff,1.0,0.0,0.0
8482845ffffffff,1.0,0.0,0.0
848284dffffffff,3.0,0.0,0.0
8482853ffffffff,2.0,0.0,2.0
848289bffffffff,1.0,0.0,1.0
84828d1ffffffff,63.0,0.0,25.0
8482909ffffffff,1.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a0bffffffff,1.0,0.0,0.0
8482a31ffffffff,3.0,0.0,0.0
8482a37ffffffff,9.0,0.0,0.0
8482a81ffffffff,5.0,0.0,5.0
8482aadffffffff,6.0,0.0,6.0
8482ab3ffffffff,4.0,0.0,0.0
8482ab7ffffffff,5.0,0.0,3.0
8482d07ffffffff,1.0,0.0,0.0
8482d27ffffffff,4.0,0.0,0.0
8482d37ffffffff,4.0,0.0,0.0
8482d3dffffffff,17.0,0.0,17.0
8482d4dffffffff,5.0,0.0,0.0
8483137ffffffff,3.0,0.0,3.0
848313dffffffff,3.0,0.0,0.0
8483151ffffffff,10.0,0.0,1.0
8483921ffffffff,3.0,0.0,0.0
8483981ffffffff,7.0,0.0,0.0
8483983ffffffff,10.0,0.0,0.0
848398bffffffff,9.0,0.0,0.0
8483a89ffffffff,4.0,0.0,0.0
8483ac3ffffffff,4.0,0.0,2.0
