cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
820817fffffffff,2.0,2.0,0.0
820887fffffffff,3.0,3.0,0.0
8208a7fffffffff,4.0,4.0,0.0
820ca7fffffffff,12.0,0.0,0.0
820d5ffffffffff,11.0,0.0,0.0
821107fffffffff,1.0,0.0,0.0
821187fffffffff,23.0,23.0,0.0
82118ffffffffff,5.0,5.0,0.0
8211affffffffff,56.0,56.0,0.0
82159ffffffffff,8.0,2.0,2.0
821657fffffffff,1.0,0.0,0.0
82184ffffffffff,76.0,11.0,0.0
82185ffffffffff,16.0,4.0,0.0
821877fffffffff,2.0,2.0,0.0
821977fffffffff,2.0,2.0,0.0
821e07fffffffff,7.0,2.0,0.0
821e0ffffffffff,3.0,1.0,0.0
821e17fffffffff,2.0,2.0,0.0
821e1ffffffffff,2.0,0.0,0.0
821e27fffffffff,1.0,1.0,0.0
821e47fffffffff,5.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0
821ec7fffffffff,10.0,2.0,0.0
821edffffffffff,3.0,0.0,0.0
821ee7fffffffff,2.0,0.0,0.0
821f17fffffffff,3.0,3.0,0.0
821f1ffffffffff,2.0,2.0,0.0
821f27fffffffff,5.0,2.0,0.0
821f2ffffffffff,12.0,12.0,0.0
821f5ffffffffff,16.0,16.0,0.0
821f77fffffffff,8.0,4.0,0.0
821f8ffffffffff,3.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
821faffffffffff,34.0,34.0,0.0
82204ffffffffff,4.0,1.0,0.0
8222dffffffffff,28.0,0.0,17.0
8224c7fffffffff,3.0,0.0,0.0
822c1ffffffffff,2.0,2.0,0.0
822c27fffffffff,1.0,1.0,0.0
822d37fffffffff,1.0,0.0,0.0
822e77fffffffff,4.0,0.0,0.0
822f5ffffffffff,8.0,0.0,0.0
8230affffffffff,2.0,0.0,0.0
82316ffffffffff,8.0,0.0,0.0
823187fffffffff,4.0,0.0,2.0
8231affffffffff,2.0,0.0,0.0
823907fffffffff,133.0,0.0,0.0
82390ffffffffff,1.0,0.0,0.0
823917fffffffff,53.0,0.0,0.0
82391ffffffffff,15.0,0.0,0.0
823927fffffffff,31.0,0.0,0.0
82392ffffffffff,38.0,0.0,0.0
823937fffffffff,21.0,0.0,0.0
823947fffffffff,2.0,0.0,0.0
823967fffffffff,7.0,7.0,0.0
823977fffffffff,2.0,2.0,0.0
824b57fffffffff,1.0,0.0,0.0
