cell_id,Dicrurus forficatus,Dicrurus forficatus forficatus,Dicrurus forficatus potior
84a2049ffffffff,7.0,1.0,0.0
84a210dffffffff,1.0,0.0,0.0
84a2129ffffffff,3.0,3.0,0.0
84a213dffffffff,1.0,0.0,0.0
84a2143ffffffff,377.0,164.0,0.0
84a2147ffffffff,5.0,5.0,0.0
84a215dffffffff,10.0,3.0,0.0
84a2165ffffffff,5.0,5.0,0.0
84a216bffffffff,1.0,0.0,0.0
84a2203ffffffff,2.0,0.0,0.0
84a2219ffffffff,1.0,0.0,0.0
84a221dffffffff,1.0,0.0,0.0
84a2225ffffffff,2.0,0.0,0.0
84a2227ffffffff,252.0,95.0,0.0
84a2231ffffffff,1.0,0.0,0.0
84a2235ffffffff,11.0,5.0,0.0
84a223dffffffff,1.0,0.0,0.0
84a2319ffffffff,5.0,2.0,0.0
84a231bffffffff,702.0,304.0,0.0
84a233dffffffff,2.0,0.0,0.0
84a2351ffffffff,1.0,0.0,0.0
84a2353ffffffff,22.0,9.0,0.0
84a2357ffffffff,9.0,2.0,0.0
84a2359ffffffff,1.0,1.0,0.0
84a2365ffffffff,8.0,0.0,0.0
84a2a3bffffffff,3.0,2.0,0.0
84a2a49ffffffff,138.0,64.0,0.0
84a2a67ffffffff,1.0,0.0,0.0
84a2a69ffffffff,10.0,3.0,0.0
84a2ae1ffffffff,6.0,1.0,0.0
84a2ae9ffffffff,20.0,13.0,0.0
84a2aedffffffff,233.0,142.0,0.0
84a304dffffffff,11.0,0.0,0.0
84a3083ffffffff,4.0,2.0,0.0
84a3087ffffffff,1.0,0.0,0.0
84a308bffffffff,61.0,16.0,0.0
84a3091ffffffff,2.0,1.0,0.0
84a3093ffffffff,18.0,13.0,0.0
84a30a5ffffffff,2.0,0.0,0.0
84a30c3ffffffff,10.0,0.0,0.0
84a30cbffffffff,22.0,4.0,0.0
84a30d1ffffffff,1.0,0.0,0.0
84a30d5ffffffff,5.0,2.0,0.0
84a30ddffffffff,37.0,4.0,0.0
84a30e7ffffffff,8.0,0.0,0.0
84a3189ffffffff,12.0,2.0,0.0
84a318bffffffff,4.0,0.0,0.0
84a318dffffffff,4.0,0.0,0.0
84a3191ffffffff,14.0,14.0,0.0
84a3195ffffffff,3.0,3.0,0.0
84a3199ffffffff,10.0,0.0,0.0
84a319dffffffff,481.0,238.0,0.0
84a31b1ffffffff,1.0,1.0,0.0
84a31b3ffffffff,5.0,3.0,0.0
84a31bbffffffff,4.0,0.0,0.0
84a31c3ffffffff,1.0,0.0,0.0
84a31c7ffffffff,7.0,3.0,0.0
84a31d5ffffffff,58.0,27.0,0.0
84a31d7ffffffff,2.0,0.0,0.0
84a3227ffffffff,2.0,0.0,0.0
84a3561ffffffff,7.0,3.0,0.0
84a3563ffffffff,1.0,1.0,0.0
84a3565ffffffff,47.0,18.0,0.0
84a3567ffffffff,154.0,53.0,0.0
84a356dffffffff,11.0,7.0,0.0
84a3725ffffffff,2.0,0.0,0.0
84a372dffffffff,1.0,0.0,0.0
84a3761ffffffff,21.0,0.0,0.0
84a3765ffffffff,21.0,6.0,0.0
84a3767ffffffff,3.0,2.0,0.0
84a3769ffffffff,3.0,1.0,0.0
84a3889ffffffff,2.0,0.0,0.0
84a38b3ffffffff,61.0,31.0,0.0
84a38b7ffffffff,125.0,78.0,0.0
84a38c7ffffffff,1.0,0.0,0.0
84a38cbffffffff,14.0,8.0,0.0
84a38ddffffffff,8.0,6.0,0.0
84a38e7ffffffff,5.0,0.0,0.0
84a38ebffffffff,3.0,0.0,0.0
84a3993ffffffff,286.0,137.0,0.0
84a3997ffffffff,14.0,8.0,0.0
84a399bffffffff,508.0,215.0,0.0
84a39dbffffffff,25.0,0.0,0.0
84a3ab3ffffffff,7.0,4.0,0.0
84a3ab7ffffffff,39.0,21.0,0.0
84a3abbffffffff,4.0,4.0,0.0
84a3ad7ffffffff,9.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0
