cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
822687fffffffff,8.0,0.0,0.0
824527fffffffff,3.0,0.0,0.0
824cd7fffffffff,9.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0
825f4ffffffffff,6.0,0.0,0.0
82660ffffffffff,10.0,0.0,0.0
82661ffffffffff,42.0,0.0,0.0
826627fffffffff,1.0,1.0,0.0
82662ffffffffff,4.0,4.0,0.0
8266a7fffffffff,3.0,0.0,0.0
8266b7fffffffff,15.0,2.0,0.0
8266c7fffffffff,153.0,0.0,0.0
8266d7fffffffff,47.0,37.0,0.0
8266dffffffffff,172.0,52.0,0.0
8266e7fffffffff,34.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0
826747fffffffff,7.0,2.0,0.0
82674ffffffffff,48.0,3.0,0.0
826757fffffffff,1.0,0.0,0.0
82675ffffffffff,3.0,1.0,0.0
82679ffffffffff,28.0,0.0,0.0
826d27fffffffff,7.0,0.0,0.0
826d2ffffffffff,9.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0
826d6ffffffffff,70.0,19.0,0.0
82810ffffffffff,1.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,46.0,46.0,0.0
828e67fffffffff,3.0,3.0,0.0
828e77fffffffff,3.0,0.0,0.0
828f2ffffffffff,3.0,0.0,0.0
828f47fffffffff,3.0,0.0,0.0
828f4ffffffffff,35.0,0.0,0.0
828f57fffffffff,4.0,3.0,0.0
828f5ffffffffff,5.0,5.0,0.0
828f77fffffffff,5.0,2.0,0.0
82a817fffffffff,2.0,2.0,0.0
82a92ffffffffff,4.0,0.0,0.0
82a967fffffffff,109.0,0.0,0.0
82a96ffffffffff,65.0,0.0,0.0
82b21ffffffffff,2.0,2.0,0.0
82b22ffffffffff,1.0,0.0,1.0
82b24ffffffffff,1620.0,0.0,0.0
82b25ffffffffff,17.0,0.0,14.0
82b267fffffffff,14.0,0.0,0.0
82b26ffffffffff,371.0,0.0,0.0
82b277fffffffff,4.0,2.0,0.0
82b2c7fffffffff,244.0,229.0,0.0
82b2cffffffffff,13.0,2.0,8.0
82b2dffffffffff,2.0,2.0,0.0
82b2e7fffffffff,26.0,24.0,0.0
82b2effffffffff,8.0,0.0,0.0
82b307fffffffff,16.0,12.0,0.0
82b30ffffffffff,2.0,2.0,0.0
82b31ffffffffff,1.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0
82b357fffffffff,6.0,0.0,5.0
82b35ffffffffff,16.0,12.0,1.0
82c21ffffffffff,23.0,23.0,0.0
82c2c7fffffffff,58.0,4.0,0.0
82c2cffffffffff,659.0,0.0,0.0
82c2d7fffffffff,32.0,0.0,0.0
82c2e7fffffffff,9.0,3.0,0.0
82c2effffffffff,175.0,0.0,0.0
82c2f7fffffffff,22.0,0.0,0.0
82c307fffffffff,7.0,0.0,7.0
82c327fffffffff,13.0,0.0,13.0
82c32ffffffffff,14.0,0.0,13.0
82c34ffffffffff,61.0,0.0,1.0
82c36ffffffffff,5.0,0.0,0.0
82c377fffffffff,3.0,0.0,0.0
82ce87fffffffff,6.0,2.0,3.0
82ce97fffffffff,4.0,0.0,4.0
82ceaffffffffff,5.0,5.0,0.0
82ceb7fffffffff,4.0,0.0,4.0
82cf17fffffffff,9.0,0.0,2.0
82cfa7fffffffff,11.0,0.0,2.0
82cfaffffffffff,5.0,0.0,0.0
82df47fffffffff,5.0,0.0,0.0
82df6ffffffffff,14.0,5.0,4.0
