cell_id,Setophaga coronata,Setophaga coronata coronata,Setophaga coronata auduboni,Setophaga coronata nigrifrons,Setophaga coronata goldmani,Setophaga coronata coronata x auduboni
82075ffffffffff,6.0,4.0,0.0,0.0,0.0,0.0
8209a7fffffffff,8.0,4.0,0.0,0.0,0.0,0.0
820c17fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820c37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,98.0,76.0,0.0,0.0,0.0,0.0
820c57fffffffff,15.0,4.0,0.0,0.0,0.0,0.0
820c5ffffffffff,10.0,6.0,0.0,0.0,0.0,0.0
820c77fffffffff,35.0,16.0,0.0,0.0,0.0,0.0
820c8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,29.0,19.0,0.0,0.0,0.0,0.0
820ceffffffffff,8.0,6.0,0.0,0.0,0.0,0.0
820d07fffffffff,23.0,20.0,2.0,0.0,0.0,0.0
820d47fffffffff,11.0,6.0,5.0,0.0,0.0,0.0
820d4ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
820d57fffffffff,7.0,7.0,0.0,0.0,0.0,0.0
820d5ffffffffff,18.0,14.0,0.0,0.0,0.0,0.0
820d77fffffffff,79.0,4.0,0.0,0.0,0.0,0.0
820e4ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,32.0,32.0,0.0,0.0,0.0,0.0
820e97fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
820e9ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
820ec7fffffffff,26.0,3.0,0.0,0.0,0.0,0.0
820ecffffffffff,10.0,10.0,0.0,0.0,0.0,0.0
820edffffffffff,4.0,2.0,0.0,0.0,0.0,0.0
820eeffffffffff,122.0,27.0,0.0,0.0,0.0,0.0
821217fffffffff,3.0,0.0,3.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
821257fffffffff,22.0,21.0,0.0,0.0,0.0,0.0
82125ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,10.0,0.0,2.0,0.0,0.0,0.0
82128ffffffffff,384.0,203.0,78.0,0.0,0.0,2.0
821297fffffffff,17.0,14.0,2.0,0.0,0.0,0.0
8212a7fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8212b7fffffffff,33.0,12.0,5.0,0.0,0.0,3.0
8212c7fffffffff,32.0,10.0,4.0,0.0,0.0,5.0
8212cffffffffff,109.0,17.0,19.0,0.0,0.0,5.0
8212d7fffffffff,21.0,4.0,2.0,0.0,0.0,13.0
8212dffffffffff,40.0,15.0,14.0,0.0,0.0,1.0
8212e7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8212effffffffff,29.0,10.0,7.0,0.0,0.0,4.0
8212f7fffffffff,6.0,0.0,1.0,0.0,0.0,0.0
821317fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82132ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
82134ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,516.0,326.0,8.0,0.0,0.0,1.0
82138ffffffffff,80.0,25.0,0.0,0.0,0.0,0.0
821397fffffffff,9.0,7.0,0.0,0.0,0.0,0.0
82139ffffffffff,48.0,11.0,35.0,0.0,0.0,0.0
