cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
825f47fffffffff,10.0,0.0,0.0
825f4ffffffffff,8.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,13.0,0.0,0.0
825f77fffffffff,16.0,0.0,0.0
82660ffffffffff,53.0,0.0,0.0
826647fffffffff,365.0,0.0,0.0
82664ffffffffff,16.0,0.0,0.0
826657fffffffff,142.0,0.0,0.0
82665ffffffffff,626.0,23.0,0.0
826667fffffffff,55.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,55.0,0.0,0.0
8266c7fffffffff,44.0,0.0,0.0
8266cffffffffff,23.0,0.0,0.0
8266e7fffffffff,425.0,0.0,0.0
8266effffffffff,362.0,2.0,0.0
828017fffffffff,122.0,0.0,0.0
828037fffffffff,4.0,0.0,0.0
828047fffffffff,3.0,0.0,0.0
82804ffffffffff,7.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0
828107fffffffff,83.0,0.0,0.0
82811ffffffffff,3.0,0.0,0.0
828127fffffffff,52.0,0.0,0.0
82812ffffffffff,13.0,0.0,0.0
828137fffffffff,161.0,0.0,0.0
828147fffffffff,43.0,0.0,0.0
82814ffffffffff,68.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0
828167fffffffff,12.0,0.0,0.0
828177fffffffff,26.0,0.0,0.0
828187fffffffff,275.0,0.0,0.0
8281a7fffffffff,4.0,0.0,0.0
828a07fffffffff,10.0,2.0,0.0
828a17fffffffff,4.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,9.0,0.0,0.0
828a4ffffffffff,5.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0
828a8ffffffffff,9.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0
828af7fffffffff,299.0,14.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b2ffffffffff,2.0,0.0,0.0
828b87fffffffff,41.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0
828b9ffffffffff,320.0,0.0,0.0
828ba7fffffffff,17.0,0.0,0.0
828bb7fffffffff,44.0,0.0,0.0
82a597fffffffff,20.0,0.0,0.0
82a807fffffffff,436.0,119.0,0.0
82a80ffffffffff,5.0,1.0,0.0
82a817fffffffff,2270.0,595.0,0.0
82a81ffffffffff,455.0,63.0,0.0
82a827fffffffff,44.0,8.0,0.0
82a82ffffffffff,13.0,0.0,0.0
82a837fffffffff,424.0,45.0,0.0
82a847fffffffff,10.0,0.0,0.0
82a85ffffffffff,69.0,0.0,0.0
82a877fffffffff,6.0,0.0,0.0
82a887fffffffff,194.0,7.0,0.0
82a88ffffffffff,32.0,0.0,0.0
82a897fffffffff,183.0,0.0,0.0
82a8a7fffffffff,892.0,146.0,0.0
82a8affffffffff,73.0,0.0,0.0
82a8c7fffffffff,44.0,0.0,0.0
82a8cffffffffff,5.0,0.0,0.0
82a8d7fffffffff,25.0,0.0,0.0
82a8dffffffffff,12.0,0.0,0.0
82a8e7fffffffff,1.0,0.0,0.0
82a8f7fffffffff,10.0,0.0,0.0
82a90ffffffffff,6.0,0.0,0.0
82a91ffffffffff,83.0,11.0,0.0
82a92ffffffffff,5.0,0.0,0.0
82a947fffffffff,73.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a957fffffffff,1263.0,0.0,0.0
82a95ffffffffff,77.0,0.0,0.0
