cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
848e623ffffffff,58.0,0.0,0.0,0.0
848e629ffffffff,176.0,0.0,0.0,0.0
848e62dffffffff,375.0,0.0,0.0,0.0
848e631ffffffff,1.0,0.0,0.0,0.0
848e635ffffffff,8.0,0.0,0.0,0.0
848e637ffffffff,3.0,0.0,0.0,0.0
848e641ffffffff,25.0,0.0,0.0,0.0
848e643ffffffff,8.0,0.0,0.0,0.0
848e645ffffffff,8.0,0.0,0.0,0.0
848e647ffffffff,8.0,0.0,0.0,0.0
848e649ffffffff,25.0,0.0,0.0,0.0
848e64bffffffff,25.0,0.0,0.0,0.0
848e651ffffffff,11.0,0.0,0.0,0.0
848e655ffffffff,6.0,0.0,0.0,0.0
848e657ffffffff,35.0,0.0,0.0,0.0
848e659ffffffff,1.0,0.0,0.0,0.0
848e661ffffffff,4.0,0.0,0.0,0.0
848e663ffffffff,488.0,0.0,0.0,0.0
848e665ffffffff,90.0,0.0,0.0,0.0
848e66bffffffff,20.0,0.0,0.0,0.0
848e681ffffffff,3.0,0.0,0.0,0.0
848e683ffffffff,4.0,0.0,0.0,0.0
848e687ffffffff,2.0,0.0,0.0,0.0
848e68bffffffff,14.0,0.0,0.0,0.0
848e691ffffffff,6.0,0.0,0.0,0.0
848e693ffffffff,2.0,0.0,0.0,0.0
848e699ffffffff,4.0,0.0,0.0,0.0
848e69bffffffff,6.0,0.0,0.0,0.0
848e6a1ffffffff,10.0,0.0,0.0,0.0
848e6abffffffff,11.0,0.0,0.0,0.0
848e6b5ffffffff,11.0,0.0,0.0,0.0
848e6c1ffffffff,7.0,0.0,0.0,0.0
848e6c3ffffffff,10.0,0.0,0.0,0.0
848e6c5ffffffff,16.0,0.0,0.0,0.0
848e6c7ffffffff,3.0,0.0,0.0,0.0
848e6c9ffffffff,4.0,0.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0,0.0
848e6cdffffffff,12.0,0.0,0.0,0.0
848e6d1ffffffff,26.0,0.0,0.0,0.0
848e6d7ffffffff,2.0,0.0,0.0,0.0
848e6d9ffffffff,274.0,0.0,0.0,0.0
848e6ddffffffff,81.0,0.0,0.0,0.0
848e6e5ffffffff,19.0,0.0,0.0,0.0
848e6e9ffffffff,8.0,0.0,0.0,0.0
848e6edffffffff,2.0,0.0,0.0,0.0
848e759ffffffff,37.0,0.0,0.0,0.0
848e75bffffffff,35.0,0.0,0.0,0.0
848f093ffffffff,2.0,0.0,0.0,0.0
848f095ffffffff,3.0,0.0,0.0,0.0
848f099ffffffff,10.0,0.0,0.0,0.0
848f0d1ffffffff,5.0,0.0,0.0,0.0
848f0d3ffffffff,33.0,0.0,0.0,0.0
848f0d7ffffffff,4.0,0.0,0.0,0.0
848f0dbffffffff,59.0,0.0,0.0,0.0
848f291ffffffff,25.0,0.0,0.0,0.0
848f295ffffffff,3.0,0.0,0.0,0.0
848f297ffffffff,54.0,0.0,0.0,0.0
848f299ffffffff,46.0,0.0,0.0,0.0
848f2bbffffffff,10.0,0.0,0.0,0.0
848f2d1ffffffff,76.0,0.0,0.0,0.0
848f2d3ffffffff,41.0,0.0,0.0,0.0
848f2d5ffffffff,2.0,0.0,0.0,0.0
848f2d7ffffffff,6.0,0.0,0.0,0.0
848f2d9ffffffff,26.0,0.0,0.0,0.0
848f2ddffffffff,13.0,0.0,0.0,0.0
848f425ffffffff,4.0,0.0,0.0,0.0
848f42dffffffff,30.0,0.0,0.0,0.0
848f465ffffffff,9.0,0.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0,0.0
848f4a5ffffffff,43.0,0.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0,0.0
848f501ffffffff,49.0,0.0,0.0,0.0
848f503ffffffff,1.0,0.0,0.0,0.0
848f505ffffffff,15.0,0.0,0.0,0.0
848f507ffffffff,10.0,0.0,0.0,0.0
848f509ffffffff,28.0,0.0,0.0,0.0
848f50bffffffff,10.0,0.0,0.0,0.0
848f50dffffffff,40.0,0.0,0.0,0.0
848f511ffffffff,3.0,0.0,0.0,0.0
848f513ffffffff,13.0,0.0,0.0,0.0
848f515ffffffff,7.0,0.0,0.0,0.0
848f517ffffffff,19.0,0.0,0.0,0.0
848f519ffffffff,321.0,0.0,0.0,0.0
848f51bffffffff,13.0,0.0,0.0,0.0
848f51dffffffff,67.0,0.0,0.0,0.0
848f53bffffffff,16.0,0.0,0.0,0.0
848f541ffffffff,3.0,0.0,0.0,0.0
848f543ffffffff,4.0,0.0,0.0,0.0
848f545ffffffff,14.0,0.0,0.0,0.0
848f547ffffffff,108.0,0.0,0.0,0.0
848f549ffffffff,17.0,0.0,0.0,0.0
848f54bffffffff,31.0,0.0,0.0,0.0
848f54dffffffff,37.0,0.0,0.0,0.0
848f551ffffffff,3.0,0.0,0.0,0.0
848f553ffffffff,207.0,0.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0,0.0
848f557ffffffff,4.0,0.0,0.0,0.0
848f559ffffffff,194.0,0.0,0.0,0.0
848f55bffffffff,138.0,0.0,0.0,0.0
848f55dffffffff,1.0,0.0,0.0,0.0
848f563ffffffff,2.0,0.0,0.0,0.0
848f56bffffffff,11.0,0.0,0.0,0.0
848f581ffffffff,56.0,0.0,0.0,0.0
848f583ffffffff,2.0,0.0,0.0,0.0
848f587ffffffff,6.0,0.0,0.0,0.0
848f589ffffffff,13.0,0.0,0.0,0.0
848f58bffffffff,5.0,0.0,0.0,0.0
848f58dffffffff,122.0,0.0,0.0,0.0
848f591ffffffff,1.0,0.0,0.0,0.0
848f593ffffffff,11.0,0.0,0.0,0.0
848f597ffffffff,45.0,0.0,0.0,0.0
848f599ffffffff,8.0,0.0,0.0,0.0
848f59bffffffff,70.0,0.0,0.0,0.0
848f59dffffffff,7.0,0.0,0.0,0.0
848f5a3ffffffff,2.0,0.0,0.0,0.0
848f5b1ffffffff,5.0,0.0,0.0,0.0
848f5b3ffffffff,7.0,0.0,0.0,0.0
848f5b7ffffffff,3.0,0.0,0.0,0.0
848f5b9ffffffff,38.0,0.0,0.0,0.0
848f5bbffffffff,3.0,0.0,0.0,0.0
848f5c1ffffffff,4.0,0.0,0.0,0.0
848f5c3ffffffff,3.0,0.0,0.0,0.0
848f5cdffffffff,36.0,0.0,0.0,0.0
