cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
8229a7fffffffff,1.0,0.0,0.0,0.0,0.0
8231affffffffff,4.0,0.0,0.0,0.0,0.0
823c07fffffffff,3.0,0.0,0.0,0.0,0.0
823c0ffffffffff,8.0,0.0,0.0,0.0,0.0
823c17fffffffff,1.0,1.0,0.0,0.0,0.0
823c1ffffffffff,43.0,1.0,0.0,0.0,0.0
823c37fffffffff,1.0,0.0,0.0,0.0,0.0
823c57fffffffff,18.0,0.0,0.0,0.0,0.0
823c97fffffffff,190.0,0.0,0.0,0.0,0.0
823c9ffffffffff,4.0,0.0,0.0,0.0,0.0
823caffffffffff,3.0,0.0,0.0,0.0,0.0
823cc7fffffffff,11.0,0.0,0.0,0.0,0.0
823cdffffffffff,5.0,0.0,0.0,0.0,0.0
823ce7fffffffff,58.0,1.0,0.0,0.0,0.0
823cf7fffffffff,93.0,4.0,0.0,0.0,0.0
82404ffffffffff,7.0,0.0,0.0,0.0,0.0
8240e7fffffffff,2.0,0.0,0.0,0.0,0.0
824107fffffffff,23.0,0.0,0.0,0.0,0.0
82411ffffffffff,14.0,0.0,0.0,0.0,0.0
8243a7fffffffff,5.0,0.0,0.0,0.0,0.0
8244a7fffffffff,622.0,11.0,0.0,0.0,0.0
8244affffffffff,20.0,0.0,0.0,0.0,0.0
824ba7fffffffff,7.0,0.0,0.0,0.0,0.0
824bb7fffffffff,1.0,0.0,0.0,0.0,0.0
824ceffffffffff,2.0,0.0,0.0,0.0,0.0
82608ffffffffff,3.0,0.0,0.0,0.0,0.0
8260b7fffffffff,1.0,0.0,0.0,0.0,0.0
82619ffffffffff,2.0,0.0,0.0,0.0,0.0
82640ffffffffff,1.0,1.0,0.0,0.0,0.0
826527fffffffff,131.0,2.0,0.0,0.0,0.0
826597fffffffff,2.0,0.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0,0.0
82682ffffffffff,4.0,2.0,0.0,0.0,0.0
