cell_id,Edolisoma grayi,Edolisoma grayi pererratum,Edolisoma grayi grayi
837390fffffffff,154.0,0.0,43.0
837392fffffffff,5.0,0.0,1.0
837395fffffffff,14.0,0.0,6.0
837396fffffffff,2.0,0.0,1.0
839572fffffffff,3.0,0.0,0.0
