cell_id,Salpinctes obsoletus,Salpinctes obsoletus [obsoletus Group],Salpinctes obsoletus [guttatus Group]
8412c05ffffffff,2.0,0.0,0.0
8412c11ffffffff,3.0,0.0,0.0
8412c13ffffffff,12.0,0.0,0.0
8412c17ffffffff,4.0,0.0,0.0
8412c1bffffffff,23.0,0.0,0.0
8412c33ffffffff,2.0,0.0,0.0
8412c4dffffffff,3.0,0.0,0.0
8412c81ffffffff,8.0,0.0,0.0
8412c85ffffffff,3.0,0.0,0.0
8412c87ffffffff,10.0,0.0,0.0
8412c8bffffffff,25.0,0.0,0.0
8412c91ffffffff,7.0,0.0,0.0
8412c95ffffffff,9.0,0.0,0.0
8412c97ffffffff,36.0,0.0,0.0
8412c9bffffffff,95.0,0.0,0.0
8412cabffffffff,9.0,0.0,0.0
8412cb1ffffffff,2.0,0.0,0.0
8412cbdffffffff,10.0,0.0,0.0
8412cc1ffffffff,28.0,0.0,0.0
8412cc5ffffffff,1.0,0.0,0.0
8412cc7ffffffff,61.0,0.0,0.0
8412ccdffffffff,2.0,0.0,0.0
8412cd3ffffffff,4.0,0.0,0.0
8412cd7ffffffff,1.0,0.0,0.0
8412ce3ffffffff,8.0,0.0,0.0
8412cebffffffff,1.0,0.0,0.0
8412d01ffffffff,11.0,0.0,0.0
8412d07ffffffff,4.0,0.0,0.0
8412d0bffffffff,1.0,0.0,0.0
8412d11ffffffff,3.0,0.0,0.0
8412d17ffffffff,15.0,0.0,0.0
8412d33ffffffff,12.0,0.0,0.0
8412d3bffffffff,74.0,0.0,0.0
8412d61ffffffff,2.0,0.0,0.0
8412d67ffffffff,2.0,0.0,0.0
8412d69ffffffff,6.0,0.0,0.0
8412d81ffffffff,4.0,0.0,0.0
8412d97ffffffff,4.0,0.0,0.0
8412d9bffffffff,1.0,0.0,0.0
8412da1ffffffff,3.0,0.0,0.0
8412da3ffffffff,3.0,0.0,0.0
8412da5ffffffff,40.0,0.0,0.0
8412da7ffffffff,79.0,0.0,0.0
8412dadffffffff,14.0,0.0,0.0
8412db1ffffffff,27.0,0.0,0.0
8412db3ffffffff,6.0,0.0,0.0
8412db5ffffffff,12.0,0.0,0.0
8412db7ffffffff,17.0,0.0,0.0
8412dbbffffffff,3.0,0.0,0.0
8412dbdffffffff,2.0,0.0,0.0
8412dc7ffffffff,6.0,0.0,0.0
8412dc9ffffffff,2.0,0.0,0.0
8412dd7ffffffff,2.0,0.0,0.0
8412ddbffffffff,6.0,0.0,0.0
8412de3ffffffff,6.0,0.0,0.0
8412de5ffffffff,424.0,0.0,0.0
8412de7ffffffff,1.0,0.0,0.0
8412dedffffffff,4.0,0.0,0.0
8412e87ffffffff,25.0,0.0,0.0
8412e8bffffffff,2.0,0.0,0.0
8412eb1ffffffff,13.0,0.0,0.0
8412eb3ffffffff,10.0,0.0,0.0
8412ebdffffffff,71.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0
8412f1bffffffff,3.0,0.0,0.0
842610dffffffff,424.0,0.0,0.0
8426121ffffffff,4.0,1.0,0.0
8426125ffffffff,23.0,0.0,0.0
8426127ffffffff,17.0,1.0,0.0
8426129ffffffff,2.0,0.0,0.0
8426161ffffffff,5.0,0.0,0.0
8426163ffffffff,110.0,0.0,0.0
8426165ffffffff,25.0,0.0,0.0
8426167ffffffff,3.0,0.0,0.0
842616bffffffff,71.0,0.0,0.0
8426345ffffffff,3.0,0.0,0.0
8426367ffffffff,5.0,0.0,0.0
8426369ffffffff,2.0,0.0,0.0
842636bffffffff,9.0,0.0,0.0
8426801ffffffff,10.0,0.0,0.0
8426803ffffffff,9.0,0.0,0.0
8426805ffffffff,26.0,0.0,0.0
8426807ffffffff,4.0,0.0,0.0
842680bffffffff,5.0,0.0,0.0
8426811ffffffff,19.0,0.0,0.0
8426813ffffffff,278.0,0.0,0.0
8426815ffffffff,12.0,0.0,0.0
8426817ffffffff,23.0,0.0,0.0
8426819ffffffff,182.0,0.0,0.0
842681bffffffff,445.0,0.0,0.0
842681dffffffff,4.0,0.0,0.0
8426821ffffffff,16.0,0.0,0.0
8426823ffffffff,23.0,0.0,0.0
8426825ffffffff,21.0,0.0,0.0
8426827ffffffff,8.0,0.0,0.0
8426829ffffffff,6.0,0.0,0.0
842682bffffffff,5.0,0.0,0.0
842682dffffffff,8.0,0.0,0.0
8426831ffffffff,17.0,0.0,0.0
8426833ffffffff,17.0,0.0,0.0
8426835ffffffff,26.0,0.0,0.0
8426839ffffffff,12.0,0.0,0.0
842683bffffffff,18.0,0.0,0.0
842683dffffffff,6.0,0.0,0.0
8426841ffffffff,2.0,0.0,0.0
8426843ffffffff,25.0,0.0,0.0
8426845ffffffff,4.0,0.0,0.0
8426847ffffffff,4.0,0.0,0.0
8426849ffffffff,5.0,0.0,0.0
842684bffffffff,4.0,0.0,0.0
842684dffffffff,2.0,0.0,0.0
8426851ffffffff,25.0,0.0,0.0
8426853ffffffff,320.0,0.0,0.0
8426855ffffffff,20.0,0.0,0.0
8426857ffffffff,8.0,0.0,0.0
8426859ffffffff,36.0,0.0,0.0
842685bffffffff,136.0,0.0,0.0
842685dffffffff,18.0,0.0,0.0
8426861ffffffff,2.0,0.0,0.0
8426865ffffffff,2.0,0.0,0.0
8426867ffffffff,29.0,0.0,0.0
8426869ffffffff,2.0,0.0,0.0
842686dffffffff,3.0,0.0,0.0
8426881ffffffff,481.0,0.0,0.0
8426883ffffffff,2.0,0.0,0.0
8426885ffffffff,48.0,0.0,0.0
8426887ffffffff,29.0,0.0,0.0
8426889ffffffff,212.0,0.0,0.0
842688bffffffff,16.0,0.0,0.0
842688dffffffff,557.0,0.0,0.0
8426891ffffffff,417.0,0.0,0.0
8426893ffffffff,294.0,0.0,0.0
8426895ffffffff,6.0,0.0,0.0
8426897ffffffff,27.0,0.0,0.0
8426899ffffffff,38.0,0.0,0.0
842689bffffffff,5.0,0.0,0.0
842689dffffffff,6.0,0.0,0.0
84268a1ffffffff,5.0,0.0,0.0
84268a3ffffffff,7.0,0.0,0.0
84268a5ffffffff,18.0,0.0,0.0
84268a7ffffffff,11.0,0.0,0.0
84268a9ffffffff,5.0,0.0,0.0
84268abffffffff,18.0,0.0,0.0
84268adffffffff,33.0,0.0,0.0
84268b1ffffffff,56.0,0.0,0.0
84268b3ffffffff,51.0,0.0,0.0
84268b5ffffffff,11.0,0.0,0.0
84268b7ffffffff,14.0,0.0,0.0
84268b9ffffffff,80.0,0.0,0.0
84268bbffffffff,13.0,0.0,0.0
84268bdffffffff,14.0,0.0,0.0
84268c1ffffffff,184.0,0.0,0.0
84268c3ffffffff,82.0,0.0,0.0
84268c5ffffffff,140.0,0.0,0.0
84268c7ffffffff,216.0,0.0,0.0
84268c9ffffffff,18.0,0.0,0.0
84268cbffffffff,5.0,0.0,0.0
84268cdffffffff,1015.0,0.0,0.0
84268d1ffffffff,22.0,0.0,0.0
84268d3ffffffff,74.0,0.0,0.0
84268d5ffffffff,84.0,0.0,0.0
84268d7ffffffff,88.0,0.0,0.0
84268d9ffffffff,18.0,0.0,0.0
84268dbffffffff,22.0,0.0,0.0
84268ddffffffff,5.0,0.0,0.0
84268e1ffffffff,75.0,0.0,0.0
84268e3ffffffff,56.0,0.0,0.0
84268e5ffffffff,10.0,0.0,0.0
84268e7ffffffff,54.0,0.0,0.0
84268e9ffffffff,18.0,0.0,0.0
84268ebffffffff,43.0,0.0,0.0
84268edffffffff,23.0,0.0,0.0
8426901ffffffff,9.0,0.0,0.0
8426903ffffffff,10.0,0.0,0.0
8426905ffffffff,34.0,0.0,0.0
8426907ffffffff,16.0,0.0,0.0
8426909ffffffff,34.0,0.0,0.0
842690bffffffff,2.0,0.0,0.0
842690dffffffff,20.0,0.0,0.0
8426911ffffffff,3.0,0.0,0.0
8426913ffffffff,41.0,0.0,0.0
8426915ffffffff,69.0,1.0,0.0
8426917ffffffff,59.0,7.0,0.0
8426919ffffffff,6.0,0.0,0.0
842691bffffffff,5.0,0.0,0.0
842691dffffffff,67.0,0.0,0.0
8426923ffffffff,13.0,0.0,0.0
8426925ffffffff,3.0,0.0,0.0
8426927ffffffff,13.0,0.0,0.0
8426929ffffffff,245.0,0.0,0.0
842692bffffffff,10.0,0.0,0.0
842692dffffffff,12.0,0.0,0.0
8426931ffffffff,5.0,0.0,0.0
8426933ffffffff,28.0,0.0,0.0
8426935ffffffff,2.0,0.0,0.0
8426937ffffffff,4.0,0.0,0.0
8426939ffffffff,23.0,0.0,0.0
842693bffffffff,15.0,0.0,0.0
8426941ffffffff,4.0,0.0,0.0
8426943ffffffff,8.0,0.0,0.0
8426945ffffffff,126.0,0.0,0.0
8426947ffffffff,44.0,0.0,0.0
8426949ffffffff,3.0,0.0,0.0
842694bffffffff,2.0,0.0,0.0
842694dffffffff,84.0,0.0,0.0
8426951ffffffff,46.0,0.0,0.0
8426953ffffffff,94.0,0.0,0.0
8426955ffffffff,4.0,0.0,0.0
8426957ffffffff,7.0,0.0,0.0
8426959ffffffff,18.0,0.0,0.0
842695bffffffff,42.0,0.0,0.0
842695dffffffff,4.0,0.0,0.0
8426961ffffffff,56.0,0.0,0.0
8426963ffffffff,121.0,0.0,0.0
8426965ffffffff,63.0,0.0,0.0
8426967ffffffff,12.0,0.0,0.0
8426969ffffffff,1185.0,0.0,0.0
842696bffffffff,317.0,0.0,0.0
842696dffffffff,18.0,0.0,0.0
8426981ffffffff,23.0,0.0,0.0
8426983ffffffff,11.0,0.0,0.0
8426985ffffffff,19.0,0.0,0.0
8426987ffffffff,409.0,0.0,0.0
8426989ffffffff,135.0,0.0,0.0
842698bffffffff,9.0,0.0,0.0
842698dffffffff,138.0,0.0,0.0
8426991ffffffff,9.0,0.0,0.0
8426993ffffffff,6.0,0.0,0.0
8426995ffffffff,37.0,0.0,0.0
8426997ffffffff,31.0,0.0,0.0
8426999ffffffff,15.0,0.0,0.0
842699bffffffff,6.0,0.0,0.0
842699dffffffff,9.0,0.0,0.0
84269a1ffffffff,108.0,0.0,0.0
84269a5ffffffff,8.0,0.0,0.0
84269a7ffffffff,37.0,2.0,0.0
84269a9ffffffff,32.0,0.0,0.0
84269abffffffff,152.0,0.0,0.0
84269adffffffff,13.0,2.0,0.0
84269b1ffffffff,4.0,0.0,0.0
84269b3ffffffff,2.0,0.0,0.0
84269b7ffffffff,1.0,0.0,0.0
