cell_id,Oenanthe picata,Oenanthe picata picata,Oenanthe picata capistrata,Oenanthe picata opistholeuca
822087fffffffff,49.0,0.0,0.0,0.0
82209ffffffffff,5.0,0.0,0.0,0.0
8220affffffffff,6.0,0.0,0.0,0.0
8220b7fffffffff,7.0,0.0,0.0,0.0
82219ffffffffff,5.0,0.0,0.0,0.0
822c87fffffffff,7.0,0.0,0.0,0.0
822c8ffffffffff,17.0,0.0,0.0,0.0
822c9ffffffffff,4.0,0.0,0.0,0.0
822cc7fffffffff,3.0,0.0,0.0,0.0
822ccffffffffff,9.0,0.0,0.0,0.0
822cdffffffffff,42.0,0.0,0.0,0.0
822cf7fffffffff,8.0,0.0,0.0,0.0
823d07fffffffff,4.0,0.0,0.0,0.0
823d17fffffffff,22.0,0.0,0.0,0.0
823d27fffffffff,17.0,0.0,0.0,0.0
823d87fffffffff,108.0,0.0,0.0,0.0
823da7fffffffff,641.0,0.0,0.0,0.0
823db7fffffffff,116.0,0.0,0.0,0.0
824207fffffffff,11.0,0.0,0.0,0.0
824227fffffffff,6.0,0.0,0.0,0.0
824237fffffffff,44.0,0.0,0.0,0.0
82424ffffffffff,13.0,0.0,0.0,0.0
824257fffffffff,1305.0,0.0,0.0,0.0
82425ffffffffff,505.0,0.0,0.0,0.0
82426ffffffffff,66.0,0.0,0.0,0.0
8242c7fffffffff,2243.0,86.0,0.0,0.0
8242cffffffffff,197.0,0.0,0.0,0.0
8242dffffffffff,23.0,0.0,0.0,0.0
8242e7fffffffff,186.0,54.0,0.0,0.0
8242effffffffff,99.0,0.0,0.0,0.0
82430ffffffffff,2.0,0.0,0.0,0.0
824317fffffffff,85.0,0.0,0.0,0.0
82431ffffffffff,158.0,0.0,0.0,0.0
824327fffffffff,7.0,0.0,0.0,0.0
82432ffffffffff,2.0,0.0,0.0,0.0
824337fffffffff,10.0,0.0,0.0,0.0
824357fffffffff,2.0,0.0,0.0,0.0
824367fffffffff,36.0,0.0,0.0,0.0
824377fffffffff,9.0,0.0,0.0,0.0
82438ffffffffff,5.0,0.0,0.0,0.0
8243a7fffffffff,1.0,0.0,0.0,0.0
8243affffffffff,257.0,0.0,0.0,0.0
