cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
8309a6fffffffff,3.0,0.0,0.0
831aa0fffffffff,6.0,0.0,0.0
831aa2fffffffff,2.0,0.0,0.0
831b99fffffffff,4.0,0.0,0.0
832600fffffffff,2.0,0.0,0.0
832603fffffffff,9.0,0.0,0.0
832604fffffffff,2.0,0.0,0.0
83260afffffffff,4.0,0.0,0.0
83260bfffffffff,5.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0
832619fffffffff,2.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0
83261dfffffffff,2.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0
832623fffffffff,4.0,0.0,0.0
832626fffffffff,11.0,0.0,0.0
83262cfffffffff,2.0,0.0,0.0
83262dfffffffff,2.0,0.0,0.0
83262efffffffff,2.0,0.0,0.0
832634fffffffff,43.0,0.0,0.0
832635fffffffff,2.0,0.0,0.0
832636fffffffff,5.0,0.0,0.0
832640fffffffff,25.0,0.0,0.0
832641fffffffff,1.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0
832646fffffffff,33.0,0.0,0.0
832648fffffffff,14.0,0.0,0.0
83264afffffffff,16.0,0.0,0.0
83264cfffffffff,4.0,0.0,0.0
83264dfffffffff,5.0,0.0,0.0
83264efffffffff,25.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832654fffffffff,2.0,0.0,0.0
832655fffffffff,7.0,0.0,0.0
832656fffffffff,8.0,0.0,0.0
832659fffffffff,6.0,0.0,0.0
83265dfffffffff,1.0,0.0,0.0
832661fffffffff,17.0,0.0,0.0
832662fffffffff,25.0,0.0,0.0
832664fffffffff,52.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,5.0,0.0,0.0
83266afffffffff,10.0,0.0,0.0
83266bfffffffff,47.0,0.0,0.0
83266dfffffffff,4.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0
832681fffffffff,6.0,0.0,0.0
832688fffffffff,28.0,0.0,0.0
832689fffffffff,3.0,0.0,0.0
83268cfffffffff,4.0,0.0,0.0
83268dfffffffff,10.0,0.0,0.0
8326aafffffffff,5.0,0.0,0.0
8326c1fffffffff,5.0,0.0,0.0
8326c3fffffffff,7.0,0.0,0.0
8326c4fffffffff,1.0,0.0,0.0
8326c5fffffffff,3.0,0.0,0.0
8326c8fffffffff,8.0,0.0,0.0
8326c9fffffffff,2.0,0.0,0.0
8326cafffffffff,5.0,0.0,0.0
8326cbfffffffff,30.0,0.0,0.0
8326d9fffffffff,1.0,0.0,0.0
8326ddfffffffff,1.0,0.0,0.0
8326defffffffff,7.0,0.0,0.0
8326e2fffffffff,7.0,0.0,0.0
8326e3fffffffff,3.0,0.0,0.0
8326e5fffffffff,28.0,0.0,0.0
8326edfffffffff,2.0,0.0,0.0
8326eefffffffff,4.0,0.0,0.0
8326f2fffffffff,10.0,0.0,0.0
832702fffffffff,2.0,0.0,0.0
83270efffffffff,1.0,0.0,0.0
832711fffffffff,2.0,0.0,0.0
832719fffffffff,2.0,0.0,0.0
83271bfffffffff,1.0,0.0,0.0
83271dfffffffff,1.0,0.0,0.0
832740fffffffff,14.0,0.0,0.0
832741fffffffff,29.0,0.0,0.0
832742fffffffff,5.0,0.0,0.0
832743fffffffff,19.0,0.0,0.0
832744fffffffff,2.0,0.0,0.0
832745fffffffff,6.0,0.0,0.0
832746fffffffff,1.0,0.0,0.0
832748fffffffff,16.0,0.0,0.0
83274afffffffff,9.0,0.0,0.0
83274bfffffffff,2.0,0.0,0.0
83274dfffffffff,77.0,0.0,0.0
83274efffffffff,17.0,0.0,0.0
832751fffffffff,6.0,0.0,0.0
832752fffffffff,8.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0
832754fffffffff,24.0,0.0,0.0
832755fffffffff,4.0,0.0,0.0
832756fffffffff,21.0,0.0,0.0
832758fffffffff,102.0,0.0,0.0
832759fffffffff,97.0,0.0,0.0
83275afffffffff,2.0,0.0,0.0
83275bfffffffff,5.0,0.0,0.0
83275cfffffffff,25.0,0.0,0.0
83275dfffffffff,43.0,0.0,0.0
832763fffffffff,27.0,0.0,0.0
832769fffffffff,6.0,0.0,0.0
83276afffffffff,4.0,0.0,0.0
83276bfffffffff,11.0,0.0,0.0
83276efffffffff,20.0,0.0,0.0
832770fffffffff,2.0,0.0,0.0
832771fffffffff,1.0,0.0,0.0
8327a9fffffffff,2.0,0.0,0.0
832802fffffffff,5.0,0.0,0.0
832811fffffffff,2.0,0.0,0.0
83281efffffffff,1.0,0.0,0.0
832830fffffffff,426.0,0.0,0.0
832831fffffffff,18.0,0.0,0.0
832832fffffffff,40.0,0.0,0.0
832833fffffffff,53.0,0.0,0.0
832834fffffffff,78.0,0.0,0.0
832835fffffffff,1.0,0.0,0.0
832836fffffffff,23.0,0.0,0.0
832912fffffffff,20.0,0.0,0.0
83291afffffffff,4.0,0.0,0.0
832980fffffffff,1.0,0.0,0.0
832985fffffffff,2.0,0.0,0.0
832986fffffffff,7.0,0.0,0.0
832989fffffffff,5.0,0.0,0.0
83298efffffffff,4.0,0.0,0.0
832995fffffffff,2.0,0.0,0.0
8329a0fffffffff,168.0,0.0,0.0
8329a1fffffffff,50.0,0.0,0.0
8329a2fffffffff,3.0,0.0,0.0
8329a4fffffffff,18.0,0.0,0.0
8329a5fffffffff,9.0,0.0,0.0
8329a6fffffffff,57.0,0.0,0.0
8329a8fffffffff,4.0,0.0,0.0
8329a9fffffffff,7.0,0.0,0.0
8329aafffffffff,6.0,0.0,0.0
8329acfffffffff,37.0,0.0,0.0
8329adfffffffff,95.0,0.0,0.0
8329b0fffffffff,30.0,0.0,0.0
8329b1fffffffff,2.0,0.0,0.0
8329b2fffffffff,52.0,0.0,0.0
8329b5fffffffff,9.0,0.0,0.0
832a10fffffffff,222.0,1.0,0.0
832a12fffffffff,35.0,0.0,0.0
832a13fffffffff,109.0,0.0,0.0
832a14fffffffff,42.0,0.0,0.0
832a15fffffffff,27.0,0.0,0.0
832a16fffffffff,20.0,0.0,0.0
832a30fffffffff,330.0,0.0,0.0
832a31fffffffff,56.0,0.0,0.0
832a32fffffffff,65.0,0.0,0.0
832a33fffffffff,157.0,0.0,0.0
832a34fffffffff,26.0,0.0,0.0
832a36fffffffff,7.0,0.0,0.0
832a84fffffffff,11.0,0.0,0.0
832a86fffffffff,3.0,0.0,0.0
832a88fffffffff,9.0,0.0,0.0
832a89fffffffff,61.0,0.0,0.0
832a8bfffffffff,1.0,0.0,0.0
832a8cfffffffff,38.0,0.0,0.0
832a90fffffffff,171.0,0.0,0.0
832a92fffffffff,4.0,0.0,0.0
832a93fffffffff,8.0,0.0,0.0
832a94fffffffff,2.0,0.0,0.0
832a95fffffffff,13.0,0.0,0.0
832a9cfffffffff,1.0,0.0,0.0
832aa0fffffffff,18.0,0.0,0.0
832aa1fffffffff,18.0,0.0,0.0
832aa2fffffffff,3.0,0.0,0.0
832aa3fffffffff,45.0,0.0,0.0
832aa4fffffffff,149.0,0.0,0.0
832aa5fffffffff,38.0,0.0,0.0
832aa6fffffffff,8.0,0.0,0.0
832aa8fffffffff,73.0,0.0,0.0
832aa9fffffffff,55.0,0.0,0.0
832aaafffffffff,31.0,0.0,0.0
832aabfffffffff,11.0,0.0,0.0
