cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
82660ffffffffff,210.0,0.0,0.0
82661ffffffffff,802.0,0.0,13.0
8266c7fffffffff,80.0,0.0,0.0
8266d7fffffffff,1380.0,0.0,60.0
8266dffffffffff,1272.0,0.0,119.0
8266e7fffffffff,3186.0,0.0,0.0
8266f7fffffffff,201.0,0.0,0.0
826747fffffffff,45.0,0.0,0.0
82674ffffffffff,20.0,0.0,0.0
828b27fffffffff,25.0,0.0,0.0
828b2ffffffffff,29.0,0.0,0.0
828b67fffffffff,623.0,0.0,8.0
828b6ffffffffff,596.0,0.0,0.0
828b77fffffffff,10.0,0.0,0.0
828e67fffffffff,123.0,0.0,0.0
828e6ffffffffff,10.0,0.0,0.0
828f2ffffffffff,13.0,0.0,0.0
828f47fffffffff,48.0,0.0,3.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,158.0,0.0,7.0
828f5ffffffffff,63.0,0.0,0.0
828f77fffffffff,345.0,0.0,1.0
82b327fffffffff,11.0,0.0,0.0
