cell_id,Symposiachrus trivirgatus,Symposiachrus trivirgatus [trivirgatus Group],Symposiachrus trivirgatus gouldii/melanorrhous
849404bffffffff,1.0,0.0,0.0
849404dffffffff,2.0,0.0,0.0
849421bffffffff,1.0,0.0,0.0
8494235ffffffff,3.0,1.0,0.0
8494237ffffffff,3.0,0.0,0.0
8494257ffffffff,2.0,2.0,0.0
8494289ffffffff,2.0,2.0,0.0
84942c1ffffffff,14.0,5.0,0.0
84942c3ffffffff,1.0,1.0,0.0
84942c5ffffffff,3.0,1.0,0.0
84942d3ffffffff,31.0,26.0,0.0
84942d5ffffffff,2.0,1.0,0.0
84951abffffffff,5.0,3.0,0.0
8495527ffffffff,1.0,1.0,0.0
8495531ffffffff,2.0,0.0,0.0
8495533ffffffff,11.0,3.0,0.0
8495537ffffffff,6.0,0.0,0.0
8495583ffffffff,14.0,2.0,0.0
8495a91ffffffff,6.0,6.0,0.0
8495a99ffffffff,20.0,14.0,0.0
8495a9bffffffff,17.0,12.0,0.0
849c001ffffffff,1.0,0.0,0.0
849c003ffffffff,16.0,2.0,0.0
849c009ffffffff,19.0,0.0,0.0
849c00bffffffff,9.0,0.0,0.0
849c011ffffffff,2.0,0.0,0.0
849c015ffffffff,1.0,0.0,0.0
849c055ffffffff,29.0,0.0,1.0
849c059ffffffff,7.0,0.0,4.0
849c05dffffffff,424.0,12.0,18.0
849c0a7ffffffff,2.0,0.0,0.0
849c0edffffffff,2.0,0.0,0.0
849c191ffffffff,542.0,59.0,2.0
849c199ffffffff,2.0,2.0,0.0
849c19bffffffff,7.0,3.0,0.0
849c19dffffffff,14.0,3.0,0.0
849c203ffffffff,116.0,5.0,2.0
849c207ffffffff,17.0,0.0,0.0
849c20bffffffff,41.0,2.0,0.0
849c215ffffffff,176.0,4.0,5.0
849c21dffffffff,6.0,0.0,0.0
849c231ffffffff,609.0,8.0,34.0
849c233ffffffff,39.0,0.0,0.0
849c237ffffffff,2249.0,23.0,78.0
849c239ffffffff,989.0,16.0,72.0
849c23bffffffff,117.0,0.0,1.0
849c23dffffffff,15.0,0.0,0.0
849c251ffffffff,27.0,0.0,2.0
849c255ffffffff,5.0,0.0,0.0
849c257ffffffff,11.0,0.0,0.0
849c259ffffffff,86.0,2.0,0.0
849c25dffffffff,2.0,0.0,0.0
849cc29ffffffff,1.0,0.0,0.0
849cd31ffffffff,1.0,0.0,0.0
849cf19ffffffff,4.0,2.0,0.0
849cf39ffffffff,2.0,0.0,0.0
