cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
8329a4fffffffff,17.0,1.0,0.0
83446cfffffffff,6.0,0.0,0.0
834520fffffffff,9.0,0.0,0.0
834522fffffffff,12.0,0.0,0.0
834524fffffffff,23.0,0.0,0.0
834525fffffffff,6.0,0.0,0.0
834526fffffffff,16.0,0.0,0.0
834528fffffffff,3.0,0.0,0.0
83452afffffffff,6.0,0.0,0.0
83452cfffffffff,5.0,0.0,0.0
83452efffffffff,1.0,0.0,0.0
834812fffffffff,4.0,0.0,0.0
834880fffffffff,1.0,0.0,0.0
834882fffffffff,3.0,0.0,0.0
834883fffffffff,5.0,1.0,0.0
83488efffffffff,21.0,0.0,0.0
834890fffffffff,5.0,0.0,0.0
834891fffffffff,1.0,0.0,0.0
834895fffffffff,156.0,1.0,0.0
83489cfffffffff,16.0,0.0,0.0
8348a0fffffffff,10.0,0.0,0.0
8348a1fffffffff,2.0,0.0,0.0
8348a2fffffffff,3.0,0.0,0.0
8348b1fffffffff,13.0,0.0,0.0
8348b3fffffffff,7.0,1.0,0.0
83498efffffffff,7.0,1.0,0.0
834993fffffffff,1.0,0.0,0.0
834994fffffffff,5.0,0.0,0.0
834995fffffffff,34.0,0.0,0.0
834996fffffffff,11.0,2.0,0.0
834998fffffffff,5.0,3.0,0.0
83499cfffffffff,1.0,0.0,0.0
8349a2fffffffff,4.0,0.0,0.0
8349b5fffffffff,1.0,1.0,0.0
836608fffffffff,8.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0
836619fffffffff,2.0,0.0,2.0
836629fffffffff,4.0,0.0,0.0
8366c4fffffffff,3.0,0.0,0.0
8366defffffffff,19.0,0.0,17.0
8366e0fffffffff,12.0,0.0,0.0
8366e5fffffffff,7.0,0.0,7.0
8366e6fffffffff,5.0,0.0,3.0
8366f1fffffffff,2.0,0.0,2.0
836741fffffffff,98.0,0.0,8.0
836752fffffffff,2.0,0.0,0.0
83675cfffffffff,7.0,0.0,0.0
836d23fffffffff,18.0,3.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d30fffffffff,2.0,2.0,0.0
836d31fffffffff,2.0,0.0,0.0
838b2cfffffffff,1.0,0.0,1.0
838b69fffffffff,27.0,0.0,0.0
838e61fffffffff,4.0,0.0,4.0
838e62fffffffff,3.0,0.0,2.0
838f29fffffffff,10.0,0.0,0.0
838f40fffffffff,7.0,0.0,7.0
838f4bfffffffff,2.0,0.0,0.0
838f55fffffffff,5.0,0.0,5.0
838f58fffffffff,4.0,0.0,1.0
838f74fffffffff,4.0,0.0,0.0
