cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
82182ffffffffff,3.0,2.0,0.0
82184ffffffffff,44.0,0.0,0.0
82185ffffffffff,1.0,0.0,0.0
821877fffffffff,5.0,0.0,0.0
821947fffffffff,11.0,5.0,0.0
821aa7fffffffff,6.0,0.0,0.0
82261ffffffffff,10.0,2.0,0.0
82262ffffffffff,20.0,0.0,0.0
822647fffffffff,2.0,0.0,0.0
82264ffffffffff,30.0,0.0,0.0
822657fffffffff,28.0,0.0,0.0
82265ffffffffff,46.0,0.0,0.0
82266ffffffffff,22.0,0.0,0.0
8226c7fffffffff,7.0,0.0,0.0
8226cffffffffff,56.0,0.0,0.0
8226effffffffff,6.0,0.0,0.0
82275ffffffffff,40.0,0.0,0.0
822a07fffffffff,56.0,0.0,0.0
822a0ffffffffff,2.0,0.0,0.0
822a17fffffffff,300.0,7.0,0.0
822a1ffffffffff,8.0,1.0,0.0
822a37fffffffff,141.0,20.0,0.0
822a4ffffffffff,13.0,0.0,0.0
822a8ffffffffff,38.0,0.0,0.0
822a9ffffffffff,30.0,6.0,0.0
822aa7fffffffff,59.0,2.0,0.0
822aaffffffffff,388.0,21.0,0.0
822ab7fffffffff,139.0,0.0,0.0
822ac7fffffffff,131.0,2.0,0.0
822acffffffffff,4.0,0.0,0.0
822ad7fffffffff,3.0,0.0,0.0
822af7fffffffff,101.0,3.0,0.0
822b0ffffffffff,1.0,0.0,0.0
822b17fffffffff,1.0,0.0,0.0
822b1ffffffffff,32.0,0.0,0.0
822b2ffffffffff,21.0,0.0,0.0
822b8ffffffffff,88.0,9.0,0.0
822b9ffffffffff,228.0,8.0,0.0
822baffffffffff,2.0,0.0,0.0
822db7fffffffff,2.0,1.0,0.0
822f5ffffffffff,13.0,0.0,4.0
822f6ffffffffff,1.0,0.0,0.0
823427fffffffff,4.0,0.0,0.0
823467fffffffff,1.0,0.0,0.0
8235affffffffff,21.0,0.0,0.0
823917fffffffff,17.0,0.0,0.0
82391ffffffffff,1.0,0.0,0.0
823927fffffffff,11.0,0.0,0.0
823937fffffffff,24.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0
823987fffffffff,2.0,0.0,0.0
823e6ffffffffff,43.0,0.0,0.0
824107fffffffff,5.0,0.0,0.0
8241b7fffffffff,5.0,0.0,0.0
8242c7fffffffff,1.0,0.0,0.0
8243affffffffff,2.0,0.0,0.0
824407fffffffff,1.0,0.0,0.0
82440ffffffffff,1.0,0.0,0.0
824417fffffffff,133.0,6.0,0.0
82441ffffffffff,396.0,62.0,0.0
