cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
8428355ffffffff,3016.0,125.0,0.0
8429121ffffffff,38.0,0.0,0.0
8429125ffffffff,54.0,0.0,0.0
8429127ffffffff,4.0,0.0,0.0
8429129ffffffff,7.0,0.0,0.0
842912dffffffff,86.0,0.0,0.0
8429167ffffffff,16.0,0.0,0.0
842916dffffffff,4.0,0.0,0.0
8429a41ffffffff,1051.0,12.0,0.0
8429a43ffffffff,2.0,2.0,0.0
8429a49ffffffff,985.0,35.0,0.0
8429a4bffffffff,906.0,33.0,0.0
8429a4dffffffff,173.0,8.0,0.0
8448013ffffffff,3.0,0.0,0.0
8448017ffffffff,20.0,0.0,0.0
8448051ffffffff,1.0,0.0,0.0
8448057ffffffff,2.0,1.0,0.0
8448059ffffffff,29.0,0.0,0.0
8448061ffffffff,3.0,0.0,0.0
844806dffffffff,13.0,0.0,0.0
8448091ffffffff,4.0,0.0,0.0
8448095ffffffff,7.0,0.0,0.0
8448097ffffffff,91.0,0.0,0.0
8448099ffffffff,3.0,0.0,0.0
844809bffffffff,6.0,0.0,0.0
844809dffffffff,4.0,0.0,0.0
84480bbffffffff,44.0,0.0,0.0
84480cbffffffff,12.0,0.0,0.0
84480d1ffffffff,39.0,0.0,0.0
84480d3ffffffff,14.0,0.0,0.0
84480d5ffffffff,4.0,0.0,0.0
84480d7ffffffff,3.0,0.0,0.0
84480ddffffffff,88.0,2.0,0.0
84480e1ffffffff,3.0,0.0,0.0
84480e3ffffffff,4.0,0.0,0.0
8448207ffffffff,3.0,0.0,0.0
8448225ffffffff,1.0,0.0,0.0
8448231ffffffff,10.0,0.0,0.0
8448233ffffffff,17.0,0.0,0.0
8448237ffffffff,2.0,0.0,0.0
8448239ffffffff,6.0,0.0,0.0
844823bffffffff,92.0,0.0,0.0
844823dffffffff,5.0,1.0,0.0
8448281ffffffff,3.0,0.0,0.0
8448283ffffffff,2.0,0.0,0.0
844828bffffffff,5.0,0.0,0.0
844828dffffffff,7.0,0.0,0.0
8448293ffffffff,1.0,0.0,0.0
84482a1ffffffff,70.0,0.0,0.0
84482a3ffffffff,16.0,0.0,0.0
84482a7ffffffff,1.0,0.0,0.0
84482a9ffffffff,9.0,0.0,0.0
84482adffffffff,113.0,5.0,0.0
84482b5ffffffff,1.0,0.0,0.0
84482b7ffffffff,12.0,3.0,0.0
84482bbffffffff,7.0,0.0,0.0
84482d5ffffffff,2.0,0.0,0.0
84482edffffffff,2.0,0.0,0.0
8448303ffffffff,3.0,2.0,0.0
8448309ffffffff,7.0,0.0,0.0
844830dffffffff,96.0,20.0,0.0
