cell_id,Turdoides reinwardtii,Turdoides reinwardtii reinwardtii,Turdoides reinwardtii stictilaema
835413fffffffff,1.0,0.0,0.0
835418fffffffff,2.0,0.0,0.0
835419fffffffff,4.0,0.0,0.0
83541afffffffff,54.0,19.0,0.0
83541bfffffffff,59.0,6.0,0.0
835440fffffffff,18.0,0.0,0.0
835444fffffffff,8.0,0.0,0.0
8354a9fffffffff,474.0,38.0,0.0
8354adfffffffff,13.0,0.0,0.0
8354ccfffffffff,1.0,0.0,0.0
8354e2fffffffff,2.0,0.0,0.0
8354e4fffffffff,131.0,25.0,0.0
8354e5fffffffff,26.0,4.0,0.0
8354e8fffffffff,1.0,0.0,0.0
8354f0fffffffff,6.0,0.0,0.0
8354f1fffffffff,4.0,0.0,0.0
8354f4fffffffff,41.0,8.0,0.0
8354f5fffffffff,16.0,0.0,0.0
8354f6fffffffff,6.0,1.0,0.0
835890fffffffff,2.0,0.0,0.0
8358a4fffffffff,3.0,0.0,0.0
8358a6fffffffff,3.0,0.0,0.0
8358b5fffffffff,3.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358defffffffff,2.0,0.0,0.0
8358e2fffffffff,18.0,0.0,0.0
8358e3fffffffff,1.0,0.0,0.0
8358e6fffffffff,1.0,0.0,0.0
8358f5fffffffff,5.0,0.0,0.0
837520fffffffff,174.0,0.0,15.0
837521fffffffff,1.0,0.0,0.0
837529fffffffff,88.0,0.0,5.0
83752bfffffffff,1.0,0.0,0.0
837530fffffffff,3.0,0.0,0.0
837532fffffffff,1.0,0.0,0.0
837536fffffffff,4.0,0.0,0.0
837574fffffffff,11.0,0.0,0.0
837576fffffffff,23.0,0.0,0.0
