cell_id,Poephila personata,Poephila personata personata,Poephila personata leucotis
83945cfffffffff,2.0,2.0,0.0
8394edfffffffff,5.0,5.0,0.0
839c0efffffffff,1.0,0.0,1.0
839c2dfffffffff,2.0,0.0,2.0
