cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
823c07fffffffff,186.0,0.0,2.0,0.0
823c0ffffffffff,62.0,0.0,0.0,0.0
823c17fffffffff,8.0,0.0,0.0,0.0
823c1ffffffffff,186.0,0.0,0.0,0.0
823c37fffffffff,49.0,0.0,0.0,0.0
823c57fffffffff,3.0,0.0,0.0,0.0
823c5ffffffffff,37.0,0.0,0.0,0.0
823cc7fffffffff,19.0,0.0,0.0,0.0
823cdffffffffff,44.0,0.0,0.0,0.0
823ce7fffffffff,38.0,0.0,0.0,0.0
823ceffffffffff,38.0,0.0,0.0,0.0
823d17fffffffff,168.0,0.0,0.0,0.0
823d1ffffffffff,138.0,0.0,0.0,0.0
823daffffffffff,352.0,0.0,0.0,0.0
824047fffffffff,17.0,0.0,0.0,0.0
82404ffffffffff,14.0,0.0,0.0,0.0
82405ffffffffff,1.0,0.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0,0.0
8240c7fffffffff,41.0,0.0,0.0,10.0
8240e7fffffffff,55.0,0.0,0.0,4.0
8240effffffffff,158.0,0.0,0.0,4.0
82415ffffffffff,7.0,0.0,0.0,0.0
826487fffffffff,30.0,0.0,0.0,10.0
826497fffffffff,313.0,0.0,0.0,136.0
82649ffffffffff,2.0,0.0,0.0,0.0
82650ffffffffff,1.0,1.0,0.0,0.0
82652ffffffffff,3.0,3.0,0.0,0.0
826557fffffffff,41.0,37.0,0.0,0.0
826817fffffffff,832.0,776.0,0.0,0.0
8268a7fffffffff,2.0,2.0,0.0,0.0
828c17fffffffff,50.0,50.0,0.0,0.0
828cd7fffffffff,27.0,27.0,0.0,0.0
828d87fffffffff,26.0,25.0,0.0,0.0
828d8ffffffffff,7.0,7.0,0.0,0.0
828da7fffffffff,83.0,79.0,0.0,0.0
828db7fffffffff,18.0,18.0,0.0,0.0
829427fffffffff,40.0,40.0,0.0,0.0
82942ffffffffff,82.0,79.0,0.0,0.0
829557fffffffff,3.0,2.0,0.0,0.0
8295a7fffffffff,2.0,2.0,0.0,0.0
