cell_id,Eubucco versicolor,Eubucco versicolor steerii,Eubucco versicolor glaucogularis,Eubucco versicolor versicolor
838b20fffffffff,1.0,0.0,0.0,0.0
838b21fffffffff,7.0,0.0,0.0,0.0
838b2cfffffffff,87.0,0.0,0.0,0.0
838b2dfffffffff,15.0,0.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,977.0,0.0,0.0,111.0
838b63fffffffff,9.0,0.0,0.0,0.0
838b69fffffffff,3.0,0.0,0.0,0.0
838b6cfffffffff,455.0,0.0,0.0,26.0
838b6dfffffffff,4.0,0.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0,0.0
838b75fffffffff,37.0,0.0,0.0,0.0
838e64fffffffff,191.0,0.0,0.0,0.0
838e65fffffffff,49.0,0.0,0.0,0.0
838e6cfffffffff,7.0,0.0,0.0,0.0
838f40fffffffff,6.0,1.0,0.0,0.0
838f42fffffffff,29.0,0.0,0.0,0.0
838f43fffffffff,148.0,4.0,0.0,0.0
838f46fffffffff,240.0,6.0,0.0,0.0
838f48fffffffff,4.0,0.0,0.0,0.0
838f4afffffffff,26.0,5.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0,0.0
838f5cfffffffff,5.0,0.0,0.0,0.0
838f5dfffffffff,19.0,0.0,0.0,0.0
838f73fffffffff,19.0,0.0,0.0,0.0
83b321fffffffff,1.0,0.0,0.0,0.0
83b324fffffffff,5.0,0.0,0.0,0.0
83b325fffffffff,101.0,0.0,0.0,0.0
