cell_id,Amandava amandava,Amandava amandava amandava/punicea,Amandava amandava flavidiventris
82184ffffffffff,2.0,0.0,0.0
82185ffffffffff,2.0,0.0,0.0
821ecffffffffff,2.0,0.0,0.0
822c97fffffffff,1.0,0.0,0.0
822cf7fffffffff,5.0,0.0,0.0
822db7fffffffff,1.0,0.0,0.0
823907fffffffff,74.0,0.0,0.0
82390ffffffffff,10.0,0.0,0.0
823917fffffffff,2.0,0.0,0.0
823927fffffffff,13.0,0.0,0.0
82392ffffffffff,2.0,0.0,0.0
823937fffffffff,33.0,0.0,0.0
823c07fffffffff,26.0,0.0,0.0
823c1ffffffffff,32.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c87fffffffff,6.0,0.0,0.0
823c97fffffffff,4.0,0.0,0.0
823caffffffffff,8.0,0.0,0.0
823cb7fffffffff,7.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823ce7fffffffff,4.0,0.0,0.0
823ceffffffffff,1.0,0.0,0.0
823cf7fffffffff,62.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0
823d37fffffffff,22.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0
823d8ffffffffff,6.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
823db7fffffffff,1.0,0.0,0.0
823e5ffffffffff,3.0,0.0,0.0
82411ffffffffff,2.0,0.0,0.0
82415ffffffffff,2.0,0.0,0.0
82416ffffffffff,9.0,0.0,0.0
82426ffffffffff,3.0,0.0,0.0
8242cffffffffff,3.0,0.0,0.0
8242dffffffffff,10.0,0.0,0.0
8243affffffffff,9.0,0.0,0.0
82464ffffffffff,4.0,0.0,0.0
824ba7fffffffff,9.0,0.0,0.0
824bb7fffffffff,1.0,0.0,0.0
824ceffffffffff,1.0,0.0,0.0
825357fffffffff,2.0,0.0,0.0
825d17fffffffff,24.0,0.0,0.0
826007fffffffff,62.0,0.0,0.0
826017fffffffff,38.0,0.0,0.0
82601ffffffffff,25.0,0.0,0.0
826027fffffffff,16.0,0.0,0.0
826037fffffffff,42.0,0.0,0.0
82608ffffffffff,52.0,0.0,0.0
82609ffffffffff,9.0,0.0,0.0
8260affffffffff,118.0,0.0,0.0
8260b7fffffffff,8.0,0.0,0.0
82618ffffffffff,5.0,0.0,0.0
826487fffffffff,3.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
826497fffffffff,3.0,0.0,0.0
8264a7fffffffff,3.0,3.0,0.0
8264b7fffffffff,11.0,0.0,0.0
826507fffffffff,2.0,0.0,0.0
82651ffffffffff,2.0,0.0,0.0
826527fffffffff,20.0,0.0,0.0
826587fffffffff,2.0,0.0,0.0
8265b7fffffffff,3.0,0.0,0.0
828caffffffffff,2.0,0.0,0.0
828db7fffffffff,1.0,0.0,0.0
829b4ffffffffff,2.0,0.0,0.0
