cell_id,Nothocercus bonapartei,Nothocercus bonapartei [bonapartei Group],Nothocercus bonapartei frantzii
846608dffffffff,8.0,0.0,0.0
84661b1ffffffff,1.0,1.0,0.0
84661b9ffffffff,2.0,2.0,0.0
8466b51ffffffff,2.0,0.0,0.0
8466b5bffffffff,6.0,0.0,0.0
8466e03ffffffff,1.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8466f53ffffffff,2.0,2.0,0.0
84674cdffffffff,2.0,0.0,0.0
84675a5ffffffff,2.0,0.0,0.0
84675adffffffff,5.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0
84679b7ffffffff,2.0,0.0,2.0
846d691ffffffff,21.0,0.0,0.0
846d69bffffffff,2.0,0.0,0.0
846d69dffffffff,22.0,0.0,17.0
848f727ffffffff,2.0,0.0,0.0
