cell_id,Ianthocincla ocellata,Ianthocincla ocellata [ocellata Group],Ianthocincla ocellata artemisiae
833c02fffffffff,5.0,0.0,0.0
833c1dfffffffff,2.0,0.0,0.0
833c58fffffffff,31.0,0.0,0.0
833ce4fffffffff,5.0,0.0,0.0
833d1afffffffff,60.0,0.0,0.0
833d1efffffffff,87.0,0.0,0.0
833dadfffffffff,1.0,0.0,0.0
834013fffffffff,4.0,0.0,0.0
