cell_id,Corypha apiata,Corypha apiata apiata,Corypha apiata marjoriae
84ad121ffffffff,4.0,0.0,0.0
84ad125ffffffff,1.0,0.0,0.0
84ad127ffffffff,6.0,0.0,0.0
84ad129ffffffff,1.0,0.0,0.0
84ad12dffffffff,3.0,0.0,0.0
84ad169ffffffff,1.0,0.0,0.0
84ad321ffffffff,12.0,5.0,0.0
84ad325ffffffff,2.0,0.0,0.0
84ad329ffffffff,37.0,5.0,0.0
84ad32dffffffff,2.0,2.0,0.0
84ad361ffffffff,1.0,0.0,0.0
84ad365ffffffff,14.0,11.0,0.0
84ad367ffffffff,56.0,25.0,0.0
84ad369ffffffff,4.0,0.0,0.0
84ad867ffffffff,2.0,0.0,0.0
84ada03ffffffff,6.0,0.0,0.0
84ada1bffffffff,2.0,1.0,0.0
84adb53ffffffff,1.0,0.0,0.0
84bc401ffffffff,2.0,0.0,0.0
84bc40dffffffff,25.0,0.0,0.0
84bc419ffffffff,1.0,0.0,0.0
84bc41bffffffff,2.0,0.0,0.0
84bc431ffffffff,6.0,0.0,0.0
84bc437ffffffff,2.0,2.0,0.0
84bc453ffffffff,6.0,0.0,2.0
84bc455ffffffff,1.0,0.0,0.0
84bc45bffffffff,1.0,0.0,0.0
84bc46dffffffff,1.0,0.0,0.0
84bc481ffffffff,3.0,1.0,0.0
84bc489ffffffff,1.0,1.0,0.0
84bc491ffffffff,3.0,2.0,0.0
84bc497ffffffff,9.0,4.0,0.0
84bc499ffffffff,1.0,1.0,0.0
84bc49bffffffff,10.0,0.0,0.0
84bc49dffffffff,18.0,7.0,0.0
84bc4bbffffffff,11.0,5.0,0.0
84bc4bdffffffff,2.0,0.0,0.0
84bc4cbffffffff,1.0,0.0,0.0
84bc4d1ffffffff,2.0,0.0,0.0
84bc4d3ffffffff,1.0,1.0,0.0
84bc4d5ffffffff,26.0,2.0,0.0
84bc4d7ffffffff,2.0,1.0,0.0
84bc4d9ffffffff,4.0,0.0,0.0
84bc4dbffffffff,1.0,1.0,0.0
84bc4ddffffffff,2.0,1.0,0.0
84bc50bffffffff,2.0,0.0,0.0
84bc515ffffffff,1.0,0.0,0.0
84bc559ffffffff,2.0,0.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0
84bc5edffffffff,2.0,0.0,0.0
84bc683ffffffff,13.0,2.0,7.0
84bc687ffffffff,51.0,1.0,25.0
84bc695ffffffff,9.0,1.0,2.0
84bc697ffffffff,7.0,0.0,3.0
84bc6a3ffffffff,66.0,8.0,30.0
84bc6a9ffffffff,1.0,0.0,1.0
84bc6abffffffff,41.0,1.0,21.0
84bc6b1ffffffff,5.0,0.0,0.0
84bc6b3ffffffff,20.0,1.0,0.0
84bc6b7ffffffff,1.0,0.0,0.0
84bc6b9ffffffff,4.0,0.0,0.0
84bc6bbffffffff,4.0,0.0,0.0
84bc6bdffffffff,29.0,11.0,9.0
84bc735ffffffff,2.0,0.0,0.0
84bce95ffffffff,2.0,0.0,0.0
