cell_id,Cranioleuca albiceps,Cranioleuca albiceps albiceps,Cranioleuca albiceps discolor
848b203ffffffff,104.0,0.0,0.0
848b211ffffffff,5.0,0.0,0.0
848b21dffffffff,9.0,0.0,0.0
848b2c1ffffffff,4.0,0.0,0.0
848b2c5ffffffff,6.0,0.0,0.0
848b2cdffffffff,149.0,0.0,0.0
848b2ddffffffff,2.0,0.0,0.0
848b759ffffffff,7.0,0.0,0.0
84b3219ffffffff,11.0,0.0,0.0
84b321dffffffff,1.0,0.0,0.0
84b3253ffffffff,81.0,0.0,0.0
84b3257ffffffff,3.0,0.0,0.0
84b32c9ffffffff,2.0,0.0,0.0
84b3629ffffffff,1.0,0.0,0.0
