cell_id,Rhodinocichla rosea,Rhodinocichla rosea schistacea,Rhodinocichla rosea eximia,Rhodinocichla rosea [rosea Group]
836610fffffffff,1.0,0.0,0.0,0.0
836612fffffffff,2.0,0.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0
836622fffffffff,1.0,0.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0,0.0
8366b5fffffffff,10.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0,0.0
83674efffffffff,4.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
