cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
824527fffffffff,970.0,0.0,0.0,0.0
824537fffffffff,64.0,0.0,0.0,0.0
824807fffffffff,22.0,0.0,0.0,0.0
82480ffffffffff,142.0,0.0,0.0,0.0
824817fffffffff,102.0,0.0,0.0,0.0
82481ffffffffff,11.0,0.0,0.0,0.0
824837fffffffff,1660.0,25.0,0.0,0.0
8248a7fffffffff,89.0,0.0,0.0,0.0
8248cffffffffff,1.0,0.0,0.0,0.0
8248e7fffffffff,67.0,0.0,0.0,0.0
824987fffffffff,860.0,4.0,0.0,0.0
82498ffffffffff,32.0,0.0,0.0,0.0
824997fffffffff,2131.0,167.0,0.0,0.0
82499ffffffffff,70.0,0.0,0.0,0.0
8249affffffffff,1664.0,92.0,0.0,0.0
8249b7fffffffff,506.0,5.0,0.0,0.0
825f4ffffffffff,17.0,0.0,0.0,0.0
826607fffffffff,123.0,0.0,0.0,0.0
82660ffffffffff,377.0,0.0,0.0,3.0
82661ffffffffff,1987.0,0.0,0.0,0.0
826627fffffffff,1377.0,0.0,0.0,119.0
82662ffffffffff,40.0,0.0,0.0,2.0
826637fffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,416.0,0.0,23.0,0.0
8266b7fffffffff,7649.0,0.0,69.0,0.0
8266c7fffffffff,982.0,0.0,0.0,0.0
8266d7fffffffff,77.0,0.0,0.0,0.0
8266e7fffffffff,1854.0,0.0,0.0,0.0
8266f7fffffffff,828.0,0.0,0.0,0.0
826747fffffffff,162.0,0.0,0.0,2.0
82674ffffffffff,1034.0,0.0,0.0,8.0
826757fffffffff,18.0,0.0,0.0,0.0
82675ffffffffff,119.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
826d07fffffffff,88.0,9.0,0.0,0.0
826d17fffffffff,74.0,17.0,0.0,0.0
826d27fffffffff,210.0,29.0,0.0,0.0
826d2ffffffffff,6655.0,1685.0,0.0,0.0
826d37fffffffff,1444.0,213.0,0.0,0.0
826d67fffffffff,3422.0,20.0,0.0,0.0
826d6ffffffffff,5573.0,0.0,0.0,0.0
826d77fffffffff,452.0,0.0,0.0,0.0
