cell_id,Spermophaga haematina,Spermophaga haematina haematina/togoensis,Spermophaga haematina pustulata
8454a93ffffffff,60.0,5.0,0.0
8454a9bffffffff,75.0,4.0,0.0
8454e21ffffffff,2.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0
8454e8bffffffff,4.0,0.0,0.0
8454eb7ffffffff,1.0,0.0,0.0
8454f0dffffffff,2.0,0.0,0.0
8454f1bffffffff,3.0,0.0,0.0
8454f45ffffffff,1.0,0.0,0.0
8454f4dffffffff,25.0,3.0,0.0
8454f51ffffffff,1.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8454f6bffffffff,2.0,1.0,0.0
8458839ffffffff,1.0,0.0,0.0
8458861ffffffff,4.0,0.0,0.0
8458883ffffffff,1.0,0.0,0.0
845890bffffffff,10.0,0.0,0.0
845890dffffffff,1.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0
8458961ffffffff,2.0,0.0,0.0
8458969ffffffff,2.0,2.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d33ffffffff,5.0,0.0,0.0
8458d35ffffffff,1.0,0.0,0.0
8458da3ffffffff,1.0,0.0,0.0
8458de5ffffffff,4.0,0.0,4.0
846a9e5ffffffff,5.0,0.0,0.0
8475085ffffffff,14.0,0.0,0.0
8475087ffffffff,3.0,0.0,0.0
847508bffffffff,2.0,0.0,0.0
84750a9ffffffff,1.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750c9ffffffff,2.0,0.0,0.0
84750d1ffffffff,188.0,45.0,0.0
84750d3ffffffff,15.0,4.0,0.0
84750d7ffffffff,1.0,0.0,0.0
84750d9ffffffff,2.0,0.0,0.0
84750dbffffffff,6.0,0.0,0.0
84750ddffffffff,4.0,0.0,0.0
84750e3ffffffff,1.0,0.0,0.0
847518dffffffff,1.0,0.0,0.0
8475191ffffffff,1.0,0.0,0.0
84751d7ffffffff,1.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0
8475251ffffffff,1.0,0.0,0.0
8475293ffffffff,3.0,1.0,0.0
8475295ffffffff,92.0,15.0,0.0
847529bffffffff,16.0,0.0,0.0
84752abffffffff,7.0,0.0,0.0
84752adffffffff,14.0,3.0,0.0
84752b5ffffffff,2.0,0.0,0.0
84752d3ffffffff,1.0,0.0,0.0
84752e9ffffffff,2.0,0.0,0.0
8475769ffffffff,2.0,0.0,0.0
847584dffffffff,1.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0
8475a07ffffffff,11.0,0.0,0.0
8475b05ffffffff,1.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0
8482125ffffffff,3.0,0.0,0.0
848284dffffffff,1.0,0.0,0.0
8482883ffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828b5ffffffff,7.0,0.0,4.0
84828bdffffffff,2.0,0.0,0.0
84828d1ffffffff,37.0,0.0,0.0
848290bffffffff,5.0,0.0,0.0
848295dffffffff,1.0,0.0,0.0
8482a81ffffffff,2.0,0.0,0.0
8482a8dffffffff,2.0,0.0,0.0
8482a91ffffffff,2.0,0.0,0.0
8482aa1ffffffff,1.0,0.0,0.0
8482aadffffffff,6.0,0.0,0.0
8482ab7ffffffff,2.0,0.0,0.0
8482ac5ffffffff,4.0,0.0,0.0
8482d07ffffffff,15.0,0.0,0.0
8482d23ffffffff,1.0,0.0,0.0
8482d27ffffffff,4.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482d3dffffffff,3.0,0.0,0.0
8482d45ffffffff,2.0,0.0,0.0
8482d4dffffffff,2.0,0.0,0.0
8482f69ffffffff,2.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0
84838e3ffffffff,1.0,0.0,1.0
84838ebffffffff,1.0,0.0,0.0
