cell_id,Campylopterus largipennis,Campylopterus largipennis largipennis,Campylopterus largipennis obscurus
845f00bffffffff,3.0,0.0,0.0
845f011ffffffff,2.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0
845f01bffffffff,2.0,0.0,0.0
845f02bffffffff,3.0,0.0,0.0
845f035ffffffff,65.0,0.0,0.0
845f03bffffffff,1.0,0.0,0.0
845f03dffffffff,90.0,0.0,0.0
845f09dffffffff,1.0,0.0,0.0
845f0b9ffffffff,3.0,0.0,0.0
845f0d1ffffffff,2.0,0.0,0.0
845f0d7ffffffff,3.0,0.0,0.0
845f105ffffffff,25.0,0.0,0.0
845f107ffffffff,3.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f117ffffffff,4.0,0.0,0.0
845f129ffffffff,11.0,0.0,0.0
845f12bffffffff,20.0,0.0,0.0
845f139ffffffff,6.0,0.0,0.0
845f13dffffffff,4.0,0.0,0.0
845f143ffffffff,30.0,0.0,0.0
845f153ffffffff,1.0,0.0,0.0
845f163ffffffff,3.0,0.0,0.0
845f1c3ffffffff,2.0,0.0,0.0
845f1cbffffffff,9.0,0.0,0.0
845f295ffffffff,4.0,0.0,0.0
845f299ffffffff,2.0,0.0,0.0
845f2b1ffffffff,38.0,0.0,0.0
845f2b3ffffffff,115.0,0.0,0.0
845f2bbffffffff,161.0,0.0,0.0
845f407ffffffff,3.0,0.0,0.0
845f415ffffffff,3.0,0.0,0.0
845f42bffffffff,29.0,0.0,0.0
845f549ffffffff,14.0,0.0,0.0
845f68bffffffff,4.0,0.0,0.0
845f711ffffffff,15.0,0.0,0.0
845f713ffffffff,25.0,0.0,0.0
845f717ffffffff,2.0,0.0,0.0
845f759ffffffff,17.0,0.0,0.0
845f75dffffffff,13.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0
8466411ffffffff,7.0,0.0,0.0
8466415ffffffff,12.0,0.0,2.0
846641dffffffff,15.0,0.0,0.0
8466487ffffffff,2.0,0.0,0.0
846648dffffffff,3.0,0.0,0.0
84664e1ffffffff,2.0,0.0,0.0
8466505ffffffff,1.0,0.0,0.0
8466529ffffffff,5.0,0.0,0.0
846656dffffffff,6.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0
84665abffffffff,137.0,0.0,0.0
84665bdffffffff,96.0,0.0,0.0
8466633ffffffff,3.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0
8466c01ffffffff,4.0,0.0,0.0
8466c05ffffffff,12.0,0.0,0.0
8466c0dffffffff,4.0,0.0,0.0
