cell_id,Pitta novaeguineae,Pitta novaeguineae novaeguineae/goodfellowi,Pitta novaeguineae mefoorana
84729dbffffffff,4.0,0.0,0.0
84729e9ffffffff,3.0,0.0,0.0
8472a2bffffffff,4.0,0.0,0.0
8472a31ffffffff,13.0,0.0,13.0
8472a6dffffffff,1.0,0.0,0.0
8472b03ffffffff,1.0,0.0,0.0
8472b49ffffffff,3.0,0.0,0.0
8472b51ffffffff,1.0,0.0,0.0
8472b57ffffffff,1.0,0.0,0.0
8472d59ffffffff,2.0,0.0,0.0
8472d93ffffffff,2.0,0.0,0.0
8472dabffffffff,1.0,1.0,0.0
8472db3ffffffff,4.0,0.0,0.0
8472dbbffffffff,8.0,0.0,0.0
8472debffffffff,1.0,0.0,0.0
8472f23ffffffff,32.0,0.0,0.0
8472f35ffffffff,1.0,0.0,0.0
84739a1ffffffff,13.0,1.0,0.0
84739a7ffffffff,2.0,0.0,0.0
84739abffffffff,35.0,1.0,0.0
84739b1ffffffff,127.0,10.0,0.0
84739b5ffffffff,17.0,0.0,0.0
84956d3ffffffff,7.0,0.0,0.0
849c843ffffffff,1.0,0.0,0.0
849c85bffffffff,10.0,0.0,0.0
849c993ffffffff,5.0,0.0,0.0
849c997ffffffff,2.0,0.0,0.0
849c9d3ffffffff,1.0,0.0,0.0
849c9d5ffffffff,3.0,0.0,0.0
849c9d7ffffffff,1.0,0.0,0.0
849ca61ffffffff,1.0,0.0,0.0
849ca65ffffffff,27.0,0.0,0.0
849caadffffffff,4.0,0.0,0.0
849cd19ffffffff,2.0,0.0,0.0
849cd31ffffffff,103.0,0.0,0.0
849cd33ffffffff,68.0,4.0,0.0
