cell_id,Leptocoma aspasia,Leptocoma aspasia talautensis/sangirensis,Leptocoma aspasia grayi,Leptocoma aspasia porphyrolaema,Leptocoma aspasia [aspasioides Group],Leptocoma aspasia chlorolaema,Leptocoma aspasia [aspasia Group],Leptocoma aspasia [corinna Group],Leptocoma aspasia [undescribed form]
8372aefffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372f2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837798fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83779cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839561fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83956dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c90fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839cd3fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839d9bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
