cell_id,Pteruthius aeralatus,Pteruthius aeralatus ripleyi,Pteruthius aeralatus validirostris,Pteruthius aeralatus ricketti,Pteruthius aeralatus [aeralatus Group],Pteruthius aeralatus annamensis
823c07fffffffff,217.0,200.0,0.0,0.0,0.0,0.0
823c0ffffffffff,227.0,0.0,8.0,0.0,0.0,0.0
823c17fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
823c1ffffffffff,278.0,4.0,0.0,0.0,0.0,0.0
823c37fffffffff,13.0,7.0,0.0,0.0,0.0,0.0
823c47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,499.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,308.0,0.0,24.0,0.0,0.0,0.0
823cc7fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,56.0,0.0,5.0,0.0,0.0,0.0
823ce7fffffffff,317.0,0.0,68.0,0.0,0.0,0.0
823ceffffffffff,41.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,295.0,281.0,0.0,0.0,0.0,0.0
823d1ffffffffff,143.0,123.0,0.0,0.0,0.0,0.0
823d37fffffffff,20.0,19.0,0.0,0.0,0.0,0.0
823daffffffffff,824.0,726.0,0.0,0.0,0.0,0.0
82400ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82402ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,262.0,0.0,0.0,3.0,0.0,0.0
82405ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
824067fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82406ffffffffff,29.0,0.0,0.0,0.0,0.0,0.0
824077fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8240c7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8240e7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8240effffffffff,20.0,0.0,0.0,0.0,0.0,0.0
82411ffffffffff,11.0,0.0,0.0,9.0,0.0,0.0
82414ffffffffff,29.0,0.0,0.0,0.0,3.0,0.0
82415ffffffffff,39.0,0.0,0.0,5.0,0.0,0.0
824167fffffffff,50.0,0.0,0.0,0.0,7.0,0.0
82416ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
824177fffffffff,110.0,0.0,0.0,24.0,0.0,0.0
824187fffffffff,51.0,0.0,0.0,9.0,0.0,0.0
8241a7fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8241b7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
826417fffffffff,214.0,0.0,0.0,0.0,55.0,0.0
826487fffffffff,948.0,0.0,0.0,0.0,294.0,0.0
826497fffffffff,936.0,0.0,0.0,0.0,283.0,0.0
82649ffffffffff,27.0,0.0,2.0,2.0,2.0,0.0
8264a7fffffffff,78.0,0.0,0.0,0.0,29.0,0.0
8264b7fffffffff,23.0,0.0,0.0,0.0,12.0,0.0
826507fffffffff,489.0,0.0,0.0,0.0,38.0,0.0
82650ffffffffff,11.0,0.0,0.0,0.0,4.0,0.0
82651ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82652ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
826557fffffffff,27.0,0.0,0.0,0.0,8.0,0.0
826587fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
82659ffffffffff,31.0,0.0,0.0,0.0,18.0,0.0
8265b7fffffffff,246.0,0.0,0.0,0.0,0.0,238.0
826817fffffffff,790.0,0.0,0.0,0.0,200.0,0.0
82689ffffffffff,7.0,0.0,0.0,0.0,7.0,0.0
826937fffffffff,25.0,0.0,0.0,0.0,8.0,0.0
828c1ffffffffff,8.0,0.0,0.0,0.0,3.0,0.0
828cd7fffffffff,53.0,0.0,0.0,0.0,14.0,0.0
828cf7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
