cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
844416bffffffff,7.0,1.0,0.0,0.0
8444305ffffffff,1.0,0.0,0.0,0.0
844480dffffffff,1.0,0.0,0.0,0.0
8444843ffffffff,8.0,4.0,0.0,0.0
8444847ffffffff,19.0,0.0,0.0,0.0
844484bffffffff,8.0,0.0,0.0,0.0
8444861ffffffff,1.0,0.0,0.0,0.0
8444869ffffffff,3.0,0.0,0.0,0.0
844486bffffffff,1.0,0.0,0.0,0.0
8444a19ffffffff,20.0,0.0,0.0,0.0
8444a2dffffffff,3.0,0.0,0.0,0.0
8444a37ffffffff,27.0,5.0,0.0,0.0
8444b57ffffffff,1.0,0.0,0.0,0.0
8445a33ffffffff,25.0,0.0,0.0,0.0
8445b21ffffffff,30.0,30.0,0.0,0.0
8445b23ffffffff,32.0,32.0,0.0,0.0
8445b27ffffffff,15.0,13.0,0.0,0.0
8445b29ffffffff,327.0,327.0,0.0,0.0
8445b2bffffffff,42.0,42.0,0.0,0.0
8445b2dffffffff,19.0,19.0,0.0,0.0
844c891ffffffff,1.0,0.0,0.0,1.0
844c893ffffffff,14.0,0.0,0.0,10.0
844c8bbffffffff,5.0,0.0,0.0,0.0
844cc0bffffffff,12.0,0.0,10.0,0.0
844cc51ffffffff,29.0,0.0,29.0,0.0
844cc55ffffffff,8.0,0.0,8.0,0.0
844cc59ffffffff,3.0,0.0,3.0,0.0
844cc5bffffffff,10.0,0.0,10.0,0.0
844cd45ffffffff,4.0,0.0,0.0,0.0
844cd4dffffffff,26.0,0.0,0.0,3.0
844ce85ffffffff,74.0,0.0,9.0,0.0
844cea9ffffffff,39.0,0.0,4.0,0.0
844ceadffffffff,2.0,0.0,2.0,0.0
844cee7ffffffff,6.0,0.0,6.0,0.0
8467263ffffffff,8.0,0.0,0.0,0.0
8467305ffffffff,39.0,39.0,0.0,0.0
8467325ffffffff,2.0,2.0,0.0,0.0
8467329ffffffff,33.0,33.0,0.0,0.0
846732dffffffff,3.0,3.0,0.0,0.0
8467363ffffffff,37.0,37.0,0.0,0.0
8467367ffffffff,57.0,57.0,0.0,0.0
