cell_id,Emberizoides herbicola,Emberizoides herbicola [sphenurus Group],Emberizoides herbicola herbicola
845f089ffffffff,2.0,0.0,0.0
845f12bffffffff,7.0,0.0,0.0
845f131ffffffff,5.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0
845f13bffffffff,10.0,0.0,0.0
845f1cbffffffff,2.0,0.0,0.0
845f223ffffffff,5.0,0.0,0.0
845f227ffffffff,14.0,0.0,0.0
845f291ffffffff,8.0,0.0,0.0
845f295ffffffff,22.0,0.0,0.0
845f299ffffffff,13.0,0.0,0.0
845f29dffffffff,26.0,0.0,0.0
845f2bbffffffff,96.0,0.0,0.0
845f2d1ffffffff,12.0,0.0,0.0
845f407ffffffff,3.0,0.0,0.0
845f42bffffffff,3.0,0.0,0.0
845f487ffffffff,2.0,0.0,0.0
845f4e5ffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,7.0,0.0,0.0
845f711ffffffff,9.0,0.0,0.0
845f713ffffffff,1.0,0.0,0.0
845f719ffffffff,3.0,0.0,0.0
845f755ffffffff,16.0,0.0,0.0
845f759ffffffff,31.0,0.0,0.0
845f75dffffffff,5.0,0.0,0.0
8466087ffffffff,9.0,0.0,0.0
8466089ffffffff,1.0,0.0,0.0
846608dffffffff,4.0,0.0,0.0
8466091ffffffff,1.0,0.0,0.0
8466093ffffffff,2.0,0.0,0.0
846609bffffffff,1.0,0.0,0.0
84660b3ffffffff,3.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
8466183ffffffff,10.0,0.0,0.0
8466193ffffffff,35.0,0.0,0.0
8466195ffffffff,7.0,0.0,0.0
8466197ffffffff,6.0,0.0,0.0
8466199ffffffff,2.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
846619dffffffff,25.0,0.0,0.0
84661b3ffffffff,13.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
84661d1ffffffff,83.0,0.0,0.0
84661d5ffffffff,8.0,0.0,0.0
84661d7ffffffff,13.0,0.0,0.0
84661ddffffffff,5.0,0.0,0.0
8466293ffffffff,2.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
84662b7ffffffff,5.0,0.0,0.0
84662e9ffffffff,4.0,0.0,0.0
8466411ffffffff,70.0,0.0,0.0
8466415ffffffff,67.0,0.0,0.0
846641dffffffff,50.0,0.0,0.0
8466441ffffffff,2.0,0.0,0.0
8466465ffffffff,2.0,0.0,0.0
84664e9ffffffff,1.0,0.0,0.0
8466505ffffffff,3.0,0.0,0.0
8466507ffffffff,3.0,0.0,0.0
846650dffffffff,3.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0
8466529ffffffff,72.0,0.0,0.0
846652bffffffff,3.0,0.0,0.0
846652dffffffff,94.0,0.0,0.0
8466537ffffffff,4.0,0.0,0.0
8466545ffffffff,18.0,0.0,0.0
8466549ffffffff,16.0,0.0,0.0
846654bffffffff,17.0,0.0,0.0
846654dffffffff,4.0,0.0,0.0
8466559ffffffff,1.0,0.0,0.0
8466561ffffffff,6.0,0.0,0.0
8466563ffffffff,4.0,0.0,0.0
8466565ffffffff,40.0,0.0,0.0
8466567ffffffff,4.0,0.0,0.0
8466569ffffffff,3.0,0.0,0.0
846656dffffffff,3.0,0.0,0.0
84665e9ffffffff,2.0,0.0,0.0
8466601ffffffff,2.0,0.0,0.0
8466637ffffffff,6.0,0.0,0.0
846663dffffffff,9.0,0.0,0.0
84666a1ffffffff,2.0,0.0,0.0
84666b3ffffffff,2.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0
8466705ffffffff,6.0,0.0,0.0
846670dffffffff,7.0,0.0,0.0
8466715ffffffff,7.0,0.0,0.0
8466723ffffffff,4.0,0.0,0.0
8466727ffffffff,8.0,0.0,0.0
8466731ffffffff,4.0,0.0,0.0
8466733ffffffff,12.0,0.0,0.0
8466737ffffffff,8.0,0.0,0.0
846675dffffffff,13.0,0.0,0.0
8466763ffffffff,2.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a0bffffffff,418.0,0.0,0.0
8466a1dffffffff,4.0,0.0,0.0
8466a2bffffffff,1.0,0.0,0.0
8466a57ffffffff,79.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0
8466c45ffffffff,3.0,0.0,0.0
8466c47ffffffff,6.0,0.0,0.0
8466c5bffffffff,5.0,0.0,0.0
8466c63ffffffff,35.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0
8466c6dffffffff,17.0,0.0,0.0
8466d53ffffffff,1.0,0.0,0.0
8466e01ffffffff,3.0,0.0,0.0
8466e03ffffffff,3.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e0dffffffff,1.0,0.0,0.0
8466e11ffffffff,17.0,0.0,0.0
8466e15ffffffff,4.0,0.0,0.0
8466e1dffffffff,26.0,0.0,0.0
8466e23ffffffff,2.0,0.0,0.0
8466e39ffffffff,5.0,0.0,0.0
8466e3bffffffff,5.0,0.0,0.0
8466e45ffffffff,14.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0
8466e49ffffffff,6.0,0.0,0.0
8466e53ffffffff,16.0,0.0,0.0
8466e57ffffffff,57.0,0.0,0.0
8466e5bffffffff,3.0,0.0,0.0
8466e63ffffffff,8.0,0.0,0.0
8466e65ffffffff,209.0,0.0,0.0
8466e69ffffffff,15.0,0.0,0.0
8466e6dffffffff,33.0,0.0,0.0
8466e9dffffffff,2.0,0.0,0.0
8466ec1ffffffff,5.0,0.0,0.0
8466ec7ffffffff,22.0,0.0,0.0
8466ec9ffffffff,30.0,0.0,0.0
8466ecbffffffff,117.0,0.0,0.0
8466ee5ffffffff,63.0,0.0,0.0
8466ee7ffffffff,4.0,0.0,0.0
8466f11ffffffff,32.0,0.0,0.0
8466f15ffffffff,1.0,0.0,0.0
8466f17ffffffff,6.0,0.0,0.0
8466f19ffffffff,13.0,0.0,0.0
8466f1dffffffff,54.0,0.0,0.0
8466f51ffffffff,5.0,0.0,0.0
8466f57ffffffff,44.0,0.0,0.0
8466f59ffffffff,17.0,0.0,0.0
8466f5bffffffff,144.0,0.0,0.0
8467413ffffffff,39.0,0.0,0.0
8467417ffffffff,2.0,0.0,0.0
8467437ffffffff,2.0,0.0,0.0
84674a7ffffffff,2.0,0.0,0.0
84674c5ffffffff,47.0,0.0,0.0
84674e9ffffffff,35.0,0.0,0.0
84674edffffffff,9.0,0.0,0.0
84675a7ffffffff,3.0,0.0,0.0
84675b3ffffffff,2.0,0.0,0.0
84675cbffffffff,10.0,0.0,0.0
84675ddffffffff,2.0,0.0,0.0
848041dffffffff,3.0,0.0,0.0
84804c9ffffffff,5.0,0.0,0.0
84804cbffffffff,7.0,0.0,0.0
8480549ffffffff,2.0,0.0,0.0
848054bffffffff,2.0,0.0,0.0
848054dffffffff,2.0,0.0,0.0
8480623ffffffff,2.0,0.0,0.0
8480655ffffffff,4.0,0.0,0.0
84806a7ffffffff,2.0,0.0,0.0
8480737ffffffff,3.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
8481005ffffffff,26.0,0.0,0.0
8481029ffffffff,34.0,0.0,0.0
848102bffffffff,7.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,51.0,0.0,0.0
848106bffffffff,6.0,0.0,0.0
8481099ffffffff,2.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0
8481163ffffffff,2.0,0.0,0.0
848124dffffffff,45.0,0.0,0.0
84812d7ffffffff,3.0,0.0,0.0
8481307ffffffff,2.0,0.0,0.0
8481321ffffffff,2.0,0.0,0.0
8481323ffffffff,1.0,0.0,0.0
8481327ffffffff,12.0,0.0,0.0
848132dffffffff,3.0,0.0,0.0
8481335ffffffff,4.0,0.0,0.0
8481337ffffffff,4.0,0.0,0.0
8481339ffffffff,32.0,0.0,0.0
8481343ffffffff,4.0,0.0,0.0
8481345ffffffff,2.0,0.0,0.0
848134dffffffff,2.0,0.0,0.0
8481363ffffffff,10.0,0.0,0.0
848136bffffffff,2.0,0.0,0.0
8481403ffffffff,7.0,0.0,0.0
8481407ffffffff,1.0,0.0,0.0
8481415ffffffff,2.0,0.0,0.0
848141dffffffff,2.0,0.0,0.0
8481429ffffffff,1.0,0.0,0.0
8481431ffffffff,5.0,0.0,0.0
8481433ffffffff,8.0,0.0,0.0
8481439ffffffff,5.0,0.0,0.0
848145dffffffff,2.0,0.0,0.0
848146bffffffff,2.0,0.0,0.0
84814adffffffff,2.0,0.0,0.0
84814d5ffffffff,4.0,0.0,0.0
84814e5ffffffff,11.0,0.0,0.0
84814ebffffffff,4.0,0.0,0.0
848151bffffffff,1.0,0.0,0.0
84815d9ffffffff,14.0,0.0,0.0
84815dbffffffff,5.0,0.0,0.0
848162bffffffff,4.0,0.0,0.0
8481635ffffffff,5.0,0.0,0.0
8481663ffffffff,1.0,0.0,0.0
8481711ffffffff,55.0,0.0,0.0
8481713ffffffff,21.0,0.0,0.0
8481801ffffffff,6.0,0.0,0.0
848180bffffffff,5.0,0.0,0.0
8481819ffffffff,2.0,0.0,0.0
848181dffffffff,3.0,0.0,0.0
8481833ffffffff,3.0,0.0,0.0
8481839ffffffff,1.0,0.0,0.0
8481851ffffffff,17.0,0.0,0.0
8481853ffffffff,2.0,0.0,0.0
8481855ffffffff,2.0,0.0,0.0
8481857ffffffff,43.0,0.0,0.0
848185bffffffff,4.0,0.0,0.0
848185dffffffff,6.0,0.0,0.0
84818e1ffffffff,2.0,0.0,0.0
848199bffffffff,6.0,0.0,0.0
84819d3ffffffff,6.0,0.0,0.0
8481a13ffffffff,2.0,0.0,0.0
8481a33ffffffff,2.0,0.0,0.0
8481aadffffffff,1.0,0.0,0.0
848a053ffffffff,1.0,0.0,0.0
848ad13ffffffff,19.0,0.0,0.0
848ad85ffffffff,2.0,0.0,0.0
848adabffffffff,3.0,0.0,0.0
848b085ffffffff,3.0,0.0,0.0
848b08bffffffff,6.0,0.0,0.0
848b0abffffffff,1.0,0.0,0.0
848b0c3ffffffff,7.0,0.0,0.0
848b0c7ffffffff,2.0,0.0,0.0
848b0cbffffffff,3.0,0.0,0.0
848b0cdffffffff,9.0,0.0,0.0
848b0d1ffffffff,146.0,0.0,0.0
848b0d3ffffffff,2.0,0.0,0.0
848b0d5ffffffff,14.0,0.0,0.0
848b0ddffffffff,3.0,0.0,0.0
848b105ffffffff,3.0,0.0,0.0
848b10dffffffff,2.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0
848b205ffffffff,5.0,0.0,0.0
848b221ffffffff,68.0,0.0,0.0
848b223ffffffff,11.0,0.0,0.0
848b225ffffffff,3.0,0.0,0.0
848b227ffffffff,1.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b22dffffffff,57.0,0.0,0.0
848b23dffffffff,11.0,0.0,0.0
848b255ffffffff,2.0,0.0,0.0
848b2a5ffffffff,2.0,0.0,0.0
848b2b1ffffffff,1.0,0.0,0.0
848b2b3ffffffff,3.0,0.0,0.0
848b2b5ffffffff,3.0,0.0,0.0
848b315ffffffff,1.0,0.0,0.0
848b31bffffffff,1.0,0.0,0.0
848b36dffffffff,1.0,0.0,0.0
848b561ffffffff,4.0,0.0,0.0
848b567ffffffff,20.0,0.0,0.0
848b56bffffffff,8.0,0.0,0.0
848b717ffffffff,3.0,0.0,0.0
848b72dffffffff,5.0,0.0,0.0
848b74bffffffff,42.0,0.0,0.0
848b767ffffffff,4.0,0.0,0.0
848b76bffffffff,3.0,0.0,0.0
848b76dffffffff,2.0,0.0,0.0
848b849ffffffff,9.0,0.0,0.0
848ba63ffffffff,8.0,0.0,0.0
848ba65ffffffff,3.0,0.0,0.0
848baddffffffff,1.0,0.0,0.0
848bb59ffffffff,157.0,0.0,0.0
848f461ffffffff,32.0,0.0,0.0
848f463ffffffff,28.0,0.0,0.0
848f465ffffffff,3.0,0.0,0.0
848f46bffffffff,1.0,0.0,0.0
84a5961ffffffff,2.0,0.0,0.0
84a8001ffffffff,3.0,0.0,0.0
84a8019ffffffff,6.0,0.0,0.0
84a801bffffffff,1.0,0.0,0.0
84a8037ffffffff,2.0,0.0,0.0
84a803dffffffff,6.0,0.0,0.0
84a8049ffffffff,15.0,0.0,0.0
84a804bffffffff,8.0,0.0,0.0
84a804dffffffff,10.0,0.0,0.0
84a8055ffffffff,1.0,0.0,0.0
84a8067ffffffff,5.0,0.0,0.0
