cell_id,Dicrurus bracteatus,Dicrurus bracteatus morotensis,Dicrurus bracteatus atrocaeruleus,Dicrurus bracteatus buruensis,Dicrurus bracteatus amboinensis,Dicrurus bracteatus carbonarius,Dicrurus bracteatus laemostictus,Dicrurus bracteatus meeki,Dicrurus bracteatus longirostris,Dicrurus bracteatus [bracteatus Group]
8472a23ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8472a31ffffffff,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
8472a3bffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8472ae1ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8472ae3ffffffff,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
8472ae7ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8472c25ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d19ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d23ffffffff,33.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
8472d59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472d97ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472da1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472db3ffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472dbbffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472debffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472f23ffffffff,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
8473901ffffffff,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473905ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473907ffffffff,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847390bffffffff,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847390dffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473951ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84739abffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
84739b1ffffffff,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
84739b3ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8494187ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84941a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84941bdffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849442bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494501ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494503ffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494505ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494507ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849450bffffffff,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8494511ffffffff,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494513ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494515ffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494517ffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849451bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849451dffffffff,1894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
8494531ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494533ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494535ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494537ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494539ffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
849453bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494551ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494557ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494559ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849458dffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494593ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945adffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945c3ffffffff,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945c5ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945c7ffffffff,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945cbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e3ffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945ebffffffff,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8494a93ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed3ffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed7ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494edbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494eddffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f69ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8495419ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8495449ffffffff,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
849544bffffffff,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
849545bffffffff,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
84956a5ffffffff,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
84956abffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
84956adffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
84956bdffffffff,83.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0
849c003ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c009ffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c00bffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c011ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c013ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c015ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
