cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
837a40fffffffff,2.0,0.0,0.0
837a41fffffffff,6.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0
837a64fffffffff,1.0,1.0,0.0
837a68fffffffff,6.0,4.0,0.0
837a6afffffffff,6.0,0.0,0.0
837a6efffffffff,2.0,2.0,0.0
8382a5fffffffff,4.0,0.0,4.0
839675fffffffff,4.0,0.0,2.0
83bc71fffffffff,8.0,0.0,0.0
83bcc3fffffffff,1.0,0.0,0.0
83bcc4fffffffff,2.0,0.0,2.0
83bcc6fffffffff,5.0,0.0,0.0
83bcd1fffffffff,5.0,0.0,0.0
83bcdcfffffffff,2.0,0.0,0.0
83bcf1fffffffff,5.0,0.0,0.0
83bcf3fffffffff,22.0,0.0,1.0
