cell_id,Turdus abyssinicus,Turdus abyssinicus oldeani,Turdus abyssinicus [abyssinicus Group]
846ada9ffffffff,21.0,0.0,1.0
847a409ffffffff,1.0,0.0,1.0
847a455ffffffff,3.0,0.0,3.0
847a48bffffffff,1.0,0.0,0.0
847a4cbffffffff,3.0,0.0,0.0
847a5d5ffffffff,4.0,0.0,0.0
847a60bffffffff,2.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,10.0,0.0,10.0
847a6e7ffffffff,3.0,0.0,3.0
847acc5ffffffff,1.0,0.0,0.0
847acd5ffffffff,4.0,0.0,0.0
847acd9ffffffff,2.0,0.0,2.0
8496903ffffffff,6.0,0.0,0.0
