cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
834525fffffffff,5.0,1.0,0.0
834990fffffffff,10.0,0.0,0.0
834996fffffffff,1.0,0.0,0.0
8349b1fffffffff,4.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0
836616fffffffff,37.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0
8366a0fffffffff,14.0,0.0,0.0
8366a5fffffffff,13.0,0.0,0.0
8366b4fffffffff,11.0,0.0,0.0
8366b5fffffffff,13.0,0.0,0.0
8366d0fffffffff,6.0,0.0,0.0
8366d3fffffffff,1.0,0.0,1.0
83679bfffffffff,9.0,0.0,0.0
836d21fffffffff,2.0,2.0,0.0
836d29fffffffff,3.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d2dfffffffff,9.0,9.0,0.0
836d30fffffffff,3.0,1.0,0.0
836d69fffffffff,21.0,0.0,6.0
838f0dfffffffff,2.0,0.0,2.0
838f2afffffffff,5.0,0.0,0.0
