cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
8431053ffffffff,2.0,2.0,0.0
84310b5ffffffff,2.0,2.0,0.0
8431183ffffffff,2.0,2.0,0.0
84312adffffffff,4.0,4.0,0.0
84312c5ffffffff,1.0,1.0,0.0
84312d9ffffffff,1.0,1.0,0.0
84312edffffffff,9.0,9.0,0.0
8431429ffffffff,1.0,1.0,0.0
843142dffffffff,2.0,2.0,0.0
8431551ffffffff,2.0,2.0,0.0
843155bffffffff,4.0,4.0,0.0
843161bffffffff,1.0,1.0,0.0
843163bffffffff,2.0,2.0,0.0
8431649ffffffff,14.0,14.0,0.0
84316c1ffffffff,24.0,24.0,0.0
84316c5ffffffff,8.0,8.0,0.0
84316c7ffffffff,5.0,5.0,0.0
84316c9ffffffff,12.0,12.0,0.0
84316cdffffffff,17.0,17.0,0.0
84316ddffffffff,17.0,17.0,0.0
84316e1ffffffff,3.0,3.0,0.0
84316e5ffffffff,2.0,2.0,0.0
84316e7ffffffff,11.0,11.0,0.0
84316e9ffffffff,7.0,7.0,0.0
843170dffffffff,1.0,1.0,0.0
8431767ffffffff,3.0,3.0,0.0
8431819ffffffff,6.0,6.0,0.0
8431851ffffffff,6.0,6.0,0.0
8431853ffffffff,6.0,6.0,0.0
8431857ffffffff,1.0,1.0,0.0
8431859ffffffff,4.0,4.0,0.0
843185bffffffff,73.0,73.0,0.0
8431889ffffffff,7.0,7.0,0.0
84318c3ffffffff,1.0,1.0,0.0
84318c7ffffffff,7.0,7.0,0.0
84318d1ffffffff,340.0,340.0,0.0
84318d3ffffffff,23.0,23.0,0.0
84318d5ffffffff,3.0,3.0,0.0
84318d7ffffffff,196.0,196.0,0.0
8431909ffffffff,2.0,2.0,0.0
8431927ffffffff,9.0,9.0,0.0
8431997ffffffff,2.0,2.0,0.0
84319ddffffffff,4.0,4.0,0.0
8431a85ffffffff,38.0,38.0,0.0
8431a87ffffffff,1.0,1.0,0.0
8431aa1ffffffff,68.0,68.0,0.0
8431aa3ffffffff,1.0,1.0,0.0
8431aa5ffffffff,239.0,239.0,0.0
8431aa7ffffffff,32.0,32.0,0.0
8431aa9ffffffff,23.0,23.0,0.0
8431aabffffffff,27.0,27.0,0.0
8431aadffffffff,105.0,105.0,0.0
8431ab5ffffffff,2.0,2.0,0.0
