cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
84660b9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,19.0,0.0,0.0,0.0,4.0,0.0,0.0
8466d33ffffffff,8.0,0.0,0.0,0.0,8.0,0.0,0.0
8466d39ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de5ffffffff,12.0,0.0,0.0,0.0,12.0,0.0,0.0
8466dedffffffff,20.0,0.0,0.0,0.0,17.0,0.0,0.0
8466e43ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e61ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8466e67ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8467413ffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0
8467417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848b203ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
848b21dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0
848b617ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,2.0
848e629ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
848e663ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
848f547ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
848f597ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5cdffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
848f725ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
