cell_id,Hellmayrea gularis,Hellmayrea gularis gularis,Hellmayrea gularis brunneidorsalis,Hellmayrea gularis cinereiventris,Hellmayrea gularis rufiventris
82660ffffffffff,24.0,0.0,0.0,0.0,0.0
82661ffffffffff,138.0,0.0,0.0,0.0,0.0
826627fffffffff,66.0,0.0,0.0,0.0,0.0
82662ffffffffff,41.0,0.0,0.0,7.0,0.0
8266c7fffffffff,59.0,0.0,0.0,0.0,0.0
8266d7fffffffff,751.0,84.0,0.0,0.0,0.0
8266dffffffffff,33.0,0.0,0.0,0.0,0.0
8266e7fffffffff,1002.0,26.0,0.0,0.0,0.0
8266f7fffffffff,11.0,0.0,0.0,0.0,0.0
82675ffffffffff,45.0,0.0,0.0,0.0,0.0
828f0ffffffffff,7.0,0.0,0.0,0.0,0.0
828f2ffffffffff,31.0,0.0,0.0,0.0,0.0
828f4ffffffffff,3.0,0.0,0.0,0.0,0.0
828f57fffffffff,6.0,0.0,0.0,0.0,0.0
828f5ffffffffff,30.0,0.0,0.0,0.0,0.0
828f77fffffffff,158.0,0.0,0.0,0.0,0.0
