cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
823c07fffffffff,134.0,62.0,0.0
823c17fffffffff,10.0,0.0,0.0
823c1ffffffffff,31.0,0.0,0.0
823c37fffffffff,5.0,0.0,0.0
823c5ffffffffff,8.0,0.0,0.0
823c87fffffffff,6.0,0.0,0.0
823c8ffffffffff,68.0,0.0,0.0
823c97fffffffff,52.0,0.0,0.0
823c9ffffffffff,13.0,0.0,0.0
823ca7fffffffff,10.0,0.0,0.0
823caffffffffff,22.0,0.0,0.0
823cb7fffffffff,243.0,0.0,0.0
823cc7fffffffff,24.0,0.0,0.0
823ccffffffffff,2.0,0.0,0.0
823cdffffffffff,8.0,0.0,0.0
823ce7fffffffff,18.0,0.0,0.0
823ceffffffffff,9.0,0.0,0.0
823cf7fffffffff,138.0,0.0,0.0
823d17fffffffff,40.0,0.0,0.0
823d1ffffffffff,2.0,0.0,0.0
823d37fffffffff,20.0,0.0,0.0
823d87fffffffff,45.0,0.0,0.0
823d8ffffffffff,31.0,0.0,0.0
823d97fffffffff,36.0,0.0,0.0
823d9ffffffffff,71.0,0.0,0.0
823da7fffffffff,131.0,0.0,0.0
823daffffffffff,3.0,0.0,0.0
823db7fffffffff,43.0,0.0,0.0
824147fffffffff,3.0,0.0,0.0
82414ffffffffff,2.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0
82416ffffffffff,5.0,0.0,0.0
82424ffffffffff,14.0,0.0,0.0
82425ffffffffff,3.0,0.0,0.0
8242c7fffffffff,21.0,0.0,0.0
8242cffffffffff,153.0,0.0,0.0
8242dffffffffff,29.0,0.0,0.0
8242effffffffff,12.0,0.0,0.0
826007fffffffff,149.0,0.0,0.0
826017fffffffff,768.0,0.0,0.0
82601ffffffffff,135.0,0.0,0.0
826027fffffffff,186.0,0.0,0.0
826037fffffffff,292.0,0.0,0.0
826087fffffffff,1.0,0.0,0.0
82608ffffffffff,324.0,0.0,0.0
826097fffffffff,81.0,0.0,0.0
82609ffffffffff,21.0,0.0,0.0
8260a7fffffffff,48.0,0.0,0.0
8260affffffffff,75.0,0.0,0.0
8260b7fffffffff,112.0,0.0,0.0
826107fffffffff,27.0,0.0,0.0
826117fffffffff,14.0,2.0,0.0
82611ffffffffff,46.0,0.0,0.0
82618ffffffffff,153.0,0.0,0.0
82619ffffffffff,17.0,0.0,0.0
8261affffffffff,43.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0
826427fffffffff,9.0,0.0,0.0
826437fffffffff,37.0,28.0,0.0
826487fffffffff,24.0,8.0,0.0
82648ffffffffff,5.0,0.0,0.0
826497fffffffff,20.0,4.0,0.0
82649ffffffffff,3.0,0.0,0.0
8264a7fffffffff,63.0,20.0,0.0
8264affffffffff,1.0,1.0,0.0
8264b7fffffffff,8.0,0.0,0.0
826507fffffffff,38.0,0.0,0.0
82650ffffffffff,7.0,0.0,0.0
82651ffffffffff,16.0,2.0,0.0
826527fffffffff,6.0,0.0,0.0
826587fffffffff,31.0,0.0,0.0
82658ffffffffff,97.0,47.0,0.0
826597fffffffff,34.0,0.0,0.0
82659ffffffffff,97.0,8.0,0.0
8265b7fffffffff,11.0,1.0,0.0
826917fffffffff,1.0,0.0,0.0
82941ffffffffff,3.0,0.0,0.0
829457fffffffff,75.0,18.0,0.0
82945ffffffffff,13.0,3.0,0.0
829487fffffffff,16.0,8.0,0.0
829497fffffffff,6.0,2.0,0.0
8294cffffffffff,3.0,0.0,0.0
8294effffffffff,2.0,0.0,0.0
8294f7fffffffff,6.0,2.0,0.0
829a17fffffffff,2.0,0.0,0.0
829b07fffffffff,2.0,0.0,0.0
829b0ffffffffff,1.0,0.0,0.0
829b47fffffffff,2.0,0.0,0.0
829b4ffffffffff,8.0,0.0,0.0
829b5ffffffffff,2.0,0.0,0.0
829b6ffffffffff,9.0,0.0,0.0
829b8ffffffffff,4.0,0.0,0.0
829c07fffffffff,48.0,19.0,0.0
829c0ffffffffff,1.0,1.0,0.0
829c1ffffffffff,15.0,2.0,0.0
829c27fffffffff,344.0,86.0,0.0
829c2ffffffffff,2.0,0.0,0.0
829c47fffffffff,2.0,0.0,0.0
829c4ffffffffff,1.0,1.0,0.0
829c6ffffffffff,3.0,1.0,0.0
829caffffffffff,4.0,0.0,0.0
829ce7fffffffff,5.0,3.0,0.0
829d07fffffffff,2.0,0.0,0.0
829d0ffffffffff,12.0,0.0,0.0
829d27fffffffff,10.0,4.0,0.0
829d2ffffffffff,11.0,1.0,0.0
829d47fffffffff,18.0,9.0,0.0
829d4ffffffffff,3.0,2.0,0.0
829d67fffffffff,4.0,3.0,0.0
829d6ffffffffff,15.0,8.0,0.0
829e07fffffffff,25.0,10.0,0.0
829e17fffffffff,8.0,0.0,0.0
829e27fffffffff,207.0,126.0,0.0
829ec7fffffffff,2.0,2.0,0.0
829f57fffffffff,5.0,2.0,0.0
829f5ffffffffff,2.0,0.0,0.0
82a617fffffffff,2.0,0.0,0.0
82a6a7fffffffff,4.0,1.0,0.0
82a707fffffffff,4.0,2.0,0.0
82a71ffffffffff,1.0,1.0,0.0
82a727fffffffff,6.0,2.0,0.0
82a737fffffffff,14.0,5.0,0.0
82a797fffffffff,2.0,1.0,0.0
82a79ffffffffff,3.0,1.0,0.0
82b827fffffffff,1.0,0.0,0.0
82b857fffffffff,2.0,2.0,0.0
82b867fffffffff,1.0,1.0,0.0
82b86ffffffffff,4.0,2.0,0.0
82b887fffffffff,40.0,16.0,0.0
82b897fffffffff,1.0,0.0,0.0
82b8a7fffffffff,4.0,2.0,0.0
82b8affffffffff,3.0,0.0,0.0
82b8b7fffffffff,1.0,0.0,0.0
82b917fffffffff,39.0,4.0,0.0
82b937fffffffff,3.0,0.0,0.0
82b95ffffffffff,1.0,0.0,0.0
82b987fffffffff,32.0,20.0,0.0
82b98ffffffffff,4.0,4.0,0.0
82b997fffffffff,17.0,0.0,0.0
82b99ffffffffff,12.0,6.0,0.0
82b9a7fffffffff,19.0,4.0,0.0
82b9affffffffff,10.0,4.0,0.0
82b9b7fffffffff,22.0,3.0,0.0
82be0ffffffffff,117.0,52.0,0.0
82be1ffffffffff,41.0,6.0,0.0
82be2ffffffffff,1.0,0.0,0.0
82be47fffffffff,359.0,139.0,0.0
82be4ffffffffff,169.0,61.0,0.0
82be57fffffffff,96.0,22.0,0.0
82be5ffffffffff,6.0,1.0,0.0
82be67fffffffff,119.0,48.0,0.0
82be6ffffffffff,26.0,6.0,0.0
82be77fffffffff,42.0,5.0,0.0
82be8ffffffffff,112.0,35.0,0.0
82beaffffffffff,38.0,12.0,0.0
82bec7fffffffff,9.0,0.0,0.0
82becffffffffff,9.0,1.0,0.0
82bed7fffffffff,6.0,4.0,0.0
82bedffffffffff,6.0,3.0,0.0
82bee7fffffffff,76.0,27.0,0.0
82beeffffffffff,16.0,5.0,0.0
82bef7fffffffff,86.0,27.0,0.0
82bf5ffffffffff,2.0,0.0,0.0
82c987fffffffff,4.0,4.0,0.0
82c997fffffffff,45.0,12.0,0.0
82c9b7fffffffff,31.0,14.0,0.0
