cell_id,Phoeniculus damarensis,Phoeniculus damarensis damarensis,Phoeniculus damarensis granti
837a40fffffffff,152.0,0.0,42.0
837a41fffffffff,3.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a44fffffffff,1.0,0.0,0.0
837a45fffffffff,4.0,0.0,0.0
837a46fffffffff,1.0,0.0,0.0
837a60fffffffff,16.0,0.0,0.0
837a64fffffffff,13.0,0.0,0.0
837a6efffffffff,52.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0
837b48fffffffff,2.0,0.0,0.0
837b4afffffffff,2.0,0.0,0.0
83ac80fffffffff,16.0,5.0,0.0
83ac81fffffffff,14.0,2.0,0.0
83ac82fffffffff,2.0,0.0,0.0
83ac85fffffffff,6.0,1.0,0.0
83ac86fffffffff,185.0,59.0,0.0
83ac8afffffffff,39.0,9.0,0.0
83ac8efffffffff,2.0,1.0,0.0
83ac99fffffffff,1.0,0.0,0.0
83aca0fffffffff,14.0,4.0,0.0
83aca1fffffffff,3.0,0.0,0.0
83aca2fffffffff,7.0,5.0,0.0
83aca3fffffffff,75.0,24.0,0.0
83aca4fffffffff,10.0,8.0,0.0
83aca6fffffffff,3.0,0.0,0.0
83acaafffffffff,4.0,0.0,0.0
83acaefffffffff,24.0,7.0,0.0
83acb1fffffffff,27.0,3.0,0.0
83acb3fffffffff,1.0,1.0,0.0
