cell_id,Antrostomus rufus,Antrostomus rufus [rufus Group],Antrostomus rufus otiosus,Antrostomus rufus minimus
835e46fffffffff,2.0,0.0,2.0,0.0
835f02fffffffff,1.0,1.0,0.0,0.0
836601fffffffff,8.0,0.0,0.0,0.0
836602fffffffff,6.0,0.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0,0.0
83662efffffffff,8.0,0.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0,0.0
8366c5fffffffff,2.0,0.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,4.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0,0.0
83674afffffffff,2.0,0.0,0.0,0.0
83674cfffffffff,1.0,0.0,0.0,0.0
83674efffffffff,2.0,2.0,0.0,0.0
836759fffffffff,1.0,0.0,0.0,0.0
83675afffffffff,5.0,4.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
838121fffffffff,1.0,0.0,0.0,0.0
838ad1fffffffff,4.0,2.0,0.0,0.0
838b22fffffffff,1.0,1.0,0.0,0.0
838f46fffffffff,1.0,1.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0,0.0
83a90efffffffff,2.0,0.0,0.0,0.0
83a92efffffffff,5.0,0.0,0.0,0.0
83a941fffffffff,4.0,0.0,0.0,0.0
83a944fffffffff,7.0,0.0,0.0,0.0
83a945fffffffff,1.0,0.0,0.0,0.0
83a946fffffffff,4.0,0.0,0.0,0.0
83a94cfffffffff,3.0,0.0,0.0,0.0
83a94dfffffffff,6.0,0.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0,0.0
83a953fffffffff,8.0,0.0,0.0,0.0
83a961fffffffff,3.0,0.0,0.0,0.0
83a96afffffffff,9.0,0.0,0.0,0.0
83a96bfffffffff,8.0,0.0,0.0,0.0
83a96cfffffffff,10.0,0.0,0.0,0.0
83a96efffffffff,9.0,0.0,0.0,0.0
83b25dfffffffff,1.0,0.0,0.0,0.0
83b265fffffffff,1.0,0.0,0.0,0.0
83b26dfffffffff,1.0,0.0,0.0,0.0
83b275fffffffff,4.0,0.0,0.0,0.0
83b342fffffffff,8.0,0.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0,0.0
83b34dfffffffff,2.0,0.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0,0.0
83b35efffffffff,7.0,0.0,0.0,0.0
