cell_id,Elliotomyia chionogaster,Elliotomyia chionogaster chionogaster,Elliotomyia chionogaster hypoleuca
828b17fffffffff,2.0,0.0,0.0
828b27fffffffff,812.0,0.0,0.0
828b2ffffffffff,75.0,0.0,0.0
828b67fffffffff,648.0,8.0,0.0
828b6ffffffffff,533.0,0.0,0.0
828b77fffffffff,24.0,0.0,0.0
828e67fffffffff,171.0,0.0,0.0
828e6ffffffffff,338.0,0.0,0.0
828f47fffffffff,145.0,0.0,0.0
828f4ffffffffff,29.0,0.0,0.0
828f57fffffffff,770.0,0.0,0.0
828f5ffffffffff,123.0,0.0,0.0
828f77fffffffff,78.0,0.0,0.0
82b20ffffffffff,16.0,0.0,0.0
82b277fffffffff,335.0,0.0,0.0
82b327fffffffff,141.0,0.0,0.0
82b32ffffffffff,11.0,0.0,0.0
82b347fffffffff,1396.0,0.0,0.0
82b357fffffffff,506.0,0.0,0.0
82b35ffffffffff,1949.0,0.0,0.0
82b367fffffffff,78.0,0.0,0.0
82b377fffffffff,7.0,0.0,0.0
