cell_id,Nyctibius jamaicensis,Nyctibius jamaicensis [mexicanus Group],Nyctibius jamaicensis jamaicensis/abbotti
8445019ffffffff,30.0,0.0,0.0
844501bffffffff,12.0,0.0,0.0
844505bffffffff,6.0,0.0,0.0
8445083ffffffff,26.0,0.0,0.0
8445085ffffffff,1.0,0.0,0.0
8445087ffffffff,52.0,0.0,0.0
844508bffffffff,11.0,0.0,0.0
844509bffffffff,26.0,0.0,0.0
84450a1ffffffff,8.0,0.0,0.0
84450a3ffffffff,18.0,0.0,0.0
84450a7ffffffff,1.0,0.0,0.0
84450a9ffffffff,2.0,0.0,0.0
84450adffffffff,4.0,0.0,0.0
84450b5ffffffff,4.0,0.0,0.0
84450c1ffffffff,2.0,2.0,0.0
84450c5ffffffff,5.0,0.0,0.0
84450cbffffffff,2.0,0.0,0.0
84450cdffffffff,6.0,0.0,0.0
84450d3ffffffff,12.0,0.0,0.0
84450e3ffffffff,2.0,0.0,0.0
84450ebffffffff,33.0,6.0,0.0
8445205ffffffff,12.0,0.0,0.0
8445207ffffffff,50.0,0.0,0.0
8445209ffffffff,11.0,0.0,0.0
8445213ffffffff,6.0,0.0,0.0
8445215ffffffff,68.0,0.0,0.0
8445217ffffffff,7.0,0.0,0.0
8445219ffffffff,3.0,0.0,0.0
8445221ffffffff,2.0,0.0,0.0
8445225ffffffff,132.0,0.0,0.0
844522bffffffff,2.0,0.0,0.0
8445233ffffffff,11.0,0.0,0.0
8445249ffffffff,9.0,0.0,0.0
8445263ffffffff,87.0,0.0,0.0
8445287ffffffff,4.0,0.0,0.0
8445289ffffffff,10.0,0.0,0.0
844528dffffffff,3.0,0.0,0.0
8445291ffffffff,4.0,0.0,0.0
84452a1ffffffff,2.0,0.0,0.0
84452a3ffffffff,1.0,0.0,0.0
84452a5ffffffff,34.0,2.0,0.0
84452a9ffffffff,76.0,1.0,0.0
84452adffffffff,412.0,23.0,0.0
84452b5ffffffff,5.0,0.0,0.0
84452b9ffffffff,5.0,0.0,0.0
84452bdffffffff,95.0,0.0,0.0
84452c1ffffffff,10.0,0.0,0.0
84452c3ffffffff,117.0,14.0,0.0
84452c5ffffffff,7.0,4.0,0.0
84452c7ffffffff,179.0,13.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d7ffffffff,1.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0
84452dbffffffff,1.0,0.0,0.0
84452e1ffffffff,802.0,15.0,0.0
84452e3ffffffff,344.0,3.0,0.0
84452e5ffffffff,10.0,0.0,0.0
84452e7ffffffff,10.0,0.0,0.0
84452e9ffffffff,6.0,0.0,0.0
84452ebffffffff,122.0,12.0,0.0
84452edffffffff,24.0,0.0,0.0
8445313ffffffff,40.0,0.0,0.0
8445317ffffffff,5.0,0.0,0.0
8445319ffffffff,8.0,0.0,0.0
844531bffffffff,2.0,0.0,0.0
8445321ffffffff,8.0,0.0,0.0
844532bffffffff,2.0,0.0,0.0
844533bffffffff,22.0,0.0,0.0
8445343ffffffff,3.0,0.0,0.0
8445365ffffffff,13.0,0.0,0.0
8445721ffffffff,4.0,0.0,0.0
8445725ffffffff,84.0,0.0,0.0
8445761ffffffff,1.0,0.0,0.0
8445b07ffffffff,1.0,0.0,0.0
8445b21ffffffff,15.0,0.0,0.0
8445b23ffffffff,82.0,0.0,3.0
8445b25ffffffff,3.0,0.0,0.0
8445b27ffffffff,43.0,0.0,0.0
8445b29ffffffff,85.0,0.0,0.0
8445b2bffffffff,53.0,0.0,0.0
8445b2dffffffff,71.0,0.0,0.0
8445b3dffffffff,5.0,0.0,0.0
844833bffffffff,16.0,0.0,0.0
8448361ffffffff,49.0,0.0,0.0
8448363ffffffff,708.0,26.0,0.0
8448365ffffffff,3.0,0.0,0.0
8448367ffffffff,1.0,0.0,0.0
8448369ffffffff,9.0,0.0,0.0
8449961ffffffff,18.0,8.0,0.0
8449963ffffffff,403.0,190.0,0.0
8449967ffffffff,36.0,4.0,0.0
8449969ffffffff,8.0,2.0,0.0
844996dffffffff,2.0,0.0,0.0
8449981ffffffff,4.0,0.0,0.0
