cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
824647fffffffff,11.0,0.0,0.0,0.0
82464ffffffffff,46.0,0.0,28.0,0.0
82465ffffffffff,6.0,0.0,0.0,0.0
824a4ffffffffff,2.0,0.0,1.0,0.0
824f4ffffffffff,3.0,0.0,0.0,0.0
825d17fffffffff,67.0,0.0,65.0,0.0
826007fffffffff,2.0,0.0,2.0,0.0
82668ffffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,12.0,0.0,0.0,0.0
826c67fffffffff,27.0,0.0,0.0,0.0
826d6ffffffffff,18.0,0.0,2.0,0.0
8272cffffffffff,2.0,0.0,0.0,0.0
8273affffffffff,2.0,0.0,0.0,0.0
82768ffffffffff,2.0,0.0,0.0,0.0
827d87fffffffff,1.0,0.0,0.0,0.0
82845ffffffffff,41.0,0.0,0.0,0.0
82846ffffffffff,3.0,0.0,0.0,0.0
8285a7fffffffff,8.0,0.0,6.0,0.0
828927fffffffff,3.0,0.0,0.0,0.0
828937fffffffff,3.0,0.0,0.0,0.0
8290e7fffffffff,1.0,0.0,0.0,0.0
82980ffffffffff,1.0,1.0,0.0,0.0
8299a7fffffffff,6.0,1.0,0.0,0.0
829a07fffffffff,3.0,0.0,0.0,0.0
829a17fffffffff,21.0,0.0,4.0,0.0
829b0ffffffffff,1.0,0.0,0.0,0.0
829b47fffffffff,1.0,0.0,0.0,0.0
829b8ffffffffff,38.0,0.0,0.0,0.0
829c07fffffffff,2.0,0.0,0.0,0.0
829d27fffffffff,4.0,0.0,0.0,0.0
829ee7fffffffff,1.0,0.0,1.0,0.0
82a04ffffffffff,2.0,0.0,2.0,0.0
82a0dffffffffff,1.0,0.0,0.0,0.0
82b14ffffffffff,4.0,0.0,2.0,0.0
82b4c7fffffffff,12.0,0.0,0.0,0.0
82b4cffffffffff,1.0,0.0,0.0,0.0
82ba1ffffffffff,33.0,0.0,0.0,0.0
82ba67fffffffff,2.0,0.0,0.0,0.0
82ba6ffffffffff,1.0,0.0,1.0,0.0
82baf7fffffffff,69.0,0.0,0.0,0.0
82bb5ffffffffff,7.0,0.0,0.0,0.0
82be0ffffffffff,3.0,0.0,0.0,0.0
82be1ffffffffff,5.0,0.0,0.0,0.0
82be8ffffffffff,30.0,0.0,0.0,0.0
82beaffffffffff,59.0,0.0,9.0,0.0
