cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
836ac9fffffffff,1.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0
837a60fffffffff,1.0,0.0,0.0
837a66fffffffff,4.0,0.0,0.0
837a68fffffffff,7.0,7.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6dfffffffff,4.0,2.0,0.0
837a6efffffffff,2.0,0.0,0.0
837b4afffffffff,1.0,0.0,1.0
837b59fffffffff,4.0,0.0,0.0
8382a0fffffffff,8.0,0.0,0.0
839692fffffffff,5.0,5.0,0.0
83969afffffffff,1.0,0.0,0.0
83bcdcfffffffff,6.0,0.0,0.0
