cell_id,Thripophaga fusciceps,Thripophaga fusciceps dimorpha,Thripophaga fusciceps obidensis,Thripophaga fusciceps fusciceps
828a07fffffffff,30.0,0.0,2.0,0.0
828a1ffffffffff,2.0,0.0,0.0,0.0
828a6ffffffffff,2.0,0.0,0.0,0.0
828a8ffffffffff,33.0,0.0,8.0,0.0
828aaffffffffff,19.0,0.0,6.0,0.0
828b0ffffffffff,82.0,0.0,0.0,0.0
828b2ffffffffff,69.0,0.0,0.0,0.0
828b47fffffffff,149.0,1.0,0.0,0.0
828b67fffffffff,371.0,0.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0,0.0
828b77fffffffff,8.0,0.0,0.0,0.0
828f67fffffffff,1.0,0.0,0.0,0.0
