cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
822db7fffffffff,2.0,0.0,0.0
8243affffffffff,4.0,0.0,0.0
825417fffffffff,4.0,4.0,0.0
8254affffffffff,3.0,0.0,0.0
8254f7fffffffff,6.0,0.0,0.0
8258a7fffffffff,2.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
826adffffffffff,4.0,0.0,0.0
827a47fffffffff,4.0,0.0,0.0
827a67fffffffff,16.0,0.0,0.0
827a6ffffffffff,12.0,0.0,0.0
827acffffffffff,14.0,0.0,0.0
827b4ffffffffff,2.0,0.0,0.0
827b5ffffffffff,2.0,0.0,0.0
82962ffffffffff,3.0,0.0,0.0
829697fffffffff,7.0,0.0,0.0
829717fffffffff,3.0,0.0,0.0
82974ffffffffff,3.0,0.0,0.0
829757fffffffff,1.0,0.0,1.0
82975ffffffffff,7.0,0.0,3.0
82ac8ffffffffff,2.0,0.0,0.0
82aca7fffffffff,9.0,0.0,0.0
82ad37fffffffff,23.0,0.0,11.0
82bc6ffffffffff,4.0,0.0,2.0
82bcd7fffffffff,4.0,0.0,4.0
82bcdffffffffff,2.0,0.0,0.0
82bce7fffffffff,9.0,0.0,0.0
82bcf7fffffffff,3.0,0.0,0.0
