cell_id,Pseudopipra pipra,Pseudopipra pipra anthracina,Pseudopipra pipra minima,Pseudopipra pipra unica/bolivari,Pseudopipra pipra coracina,Pseudopipra pipra comata/occulta,Pseudopipra pipra pipra,Pseudopipra pipra [microlopha Group],Pseudopipra pipra cephaleucos
825f07fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f0ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
825f1ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,422.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
82664ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,522.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
826667fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82666ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,1067.0,0.0,0.0,0.0,107.0,0.0,0.0,20.0,0.0
8266e7fffffffff,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266effffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82679ffffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82804ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828067fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82806ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828077fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828137fffffffff,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
82814ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a17fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a1ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
828a57fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a6ffffffffff,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a77fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a97fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828adffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,826.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0
828b57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b9ffffffffff,254.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
828e67fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f67fffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f6ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
828f77fffffffff,155.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
82a597fffffffff,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
82a85ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a887fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a897fffffffff,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
82a89ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
82a8b7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
