cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
8444249ffffffff,31.0,0.0,0.0
8445011ffffffff,5.0,0.0,0.0
8445019ffffffff,7.0,0.0,0.0
844501bffffffff,3.0,0.0,0.0
8445053ffffffff,17.0,0.0,0.0
8445057ffffffff,1.0,0.0,0.0
8445059ffffffff,6.0,0.0,0.0
844505bffffffff,164.0,0.0,0.0
8445081ffffffff,3.0,0.0,0.0
8445083ffffffff,28.0,6.0,0.0
8445085ffffffff,39.0,0.0,0.0
8445087ffffffff,196.0,19.0,0.0
8445089ffffffff,9.0,0.0,0.0
844508bffffffff,2.0,0.0,0.0
844508dffffffff,90.0,0.0,0.0
8445091ffffffff,28.0,12.0,0.0
8445093ffffffff,21.0,6.0,0.0
8445095ffffffff,1.0,0.0,0.0
8445097ffffffff,19.0,4.0,0.0
8445099ffffffff,56.0,0.0,0.0
844509bffffffff,407.0,118.0,0.0
844509dffffffff,1.0,0.0,0.0
84450a1ffffffff,674.0,9.0,0.0
84450a3ffffffff,166.0,15.0,0.0
84450a5ffffffff,14.0,4.0,0.0
84450a7ffffffff,24.0,0.0,0.0
84450a9ffffffff,10.0,0.0,0.0
84450abffffffff,74.0,5.0,0.0
84450adffffffff,3.0,0.0,0.0
84450b1ffffffff,165.0,7.0,0.0
84450b5ffffffff,83.0,0.0,0.0
84450b9ffffffff,28.0,0.0,0.0
84450bbffffffff,3.0,0.0,0.0
84450bdffffffff,117.0,11.0,0.0
84450c1ffffffff,81.0,8.0,0.0
84450c5ffffffff,123.0,3.0,0.0
84450c7ffffffff,2.0,0.0,0.0
84450c9ffffffff,5.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0
84450cdffffffff,20.0,5.0,0.0
84450d1ffffffff,16.0,4.0,0.0
84450d3ffffffff,120.0,28.0,0.0
84450d5ffffffff,95.0,50.0,0.0
84450d7ffffffff,8.0,0.0,0.0
84450d9ffffffff,3.0,0.0,0.0
84450ddffffffff,14.0,5.0,0.0
84450e1ffffffff,8.0,0.0,0.0
84450e3ffffffff,88.0,2.0,0.0
84450ebffffffff,159.0,33.0,0.0
844519bffffffff,11.0,3.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,10.0,2.0,0.0
8445205ffffffff,57.0,0.0,0.0
8445207ffffffff,13.0,0.0,0.0
8445209ffffffff,42.0,0.0,0.0
844520bffffffff,2.0,0.0,0.0
844520dffffffff,142.0,0.0,0.0
8445211ffffffff,17.0,0.0,0.0
8445213ffffffff,104.0,2.0,0.0
8445215ffffffff,465.0,0.0,0.0
8445217ffffffff,676.0,0.0,0.0
8445219ffffffff,6.0,4.0,0.0
844521bffffffff,6.0,0.0,0.0
844521dffffffff,13.0,2.0,0.0
8445221ffffffff,173.0,0.0,0.0
